Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Sales,Profit after tax,OPM,Dividend yield,Price to book value,Return on equity,Earnings yield,Sales growth,Profit growth,EVEBITDA,Sales growth 3Years,PEG Ratio
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,222.49,785.09,11.54,951.38,68.03,12.94,0.56,1.62,14.54,12.65,2.36,9.01,6.63,10.78,0.69
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,38.13,40.04,,-10.55,-17.23,-162.27,0.00,1.21,-57.21,-46.92,-238.27,-84.28,-2.13,22.98,
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1137.00,46340.08,36.72,4621.10,1262.03,61.85,1.06,4.70,14.39,4.68,36.82,19.48,20.21,29.53,1.62
3B Blackbio,532067,3BBLACKBIO,INE994E01018,Healthcare Services,Healthcare Service Provider,1460.10,1253.16,22.57,153.17,55.53,34.90,0.27,3.86,19.77,6.46,54.30,13.23,14.29,31.90,0.72
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,11.66,28.88,15.70,60.01,1.84,18.46,0.00,0.54,4.16,5.52,-29.66,-63.56,9.91,-5.80,0.60
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,19.13,11.52,19.86,58.47,0.58,2.14,0.00,0.87,4.46,6.01,60.15,1066.67,7.97,-1.90,-0.98
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,22.37,463.96,12.30,700.75,37.71,-1.35,0.00,1.22,11.05,10.28,-2.21,-9.74,6.82,-1.66,0.09
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,32845.00,37016.32,83.96,5316.99,440.89,18.47,0.49,20.93,29.98,2.65,15.71,-11.22,35.40,10.88,9.11
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,32.39,58.30,25.68,4.81,2.27,64.86,0.00,0.56,1.78,5.23,7.13,9.66,18.62,22.83,2.09
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,342.10,1603.84,36.28,330.20,44.21,30.76,0.00,2.47,7.04,16.46,-1.44,-25.95,5.54,-1.86,90.70
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,876.50,4038.78,,318.30,-143.00,-93.79,0.23,1.14,-1.98,-7.56,384.84,-76.91,-16.34,-9.98,
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,6.99,19.58,14.19,10.54,1.38,8.35,0.00,1.34,0.48,7.70,-52.88,91.67,11.95,-35.76,-0.86
7Seas Enter.,540874,,INE454F01010,Entertainment,Digital Entertainment,95.52,220.77,92.37,20.96,2.39,17.37,0.00,7.52,9.41,1.09,18.89,22.56,59.55,53.90,1.26
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,7410.00,157024.11,101.88,13476.81,1541.25,13.97,0.53,16.81,22.39,1.39,10.22,-13.03,67.02,15.51,3.42
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,11.35,725.03,37.16,271.89,19.51,14.37,0.05,4.28,13.84,4.81,6.80,-8.15,18.25,28.05,0.78
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,86.07,10505.03,49.21,8600.97,213.47,16.15,0.58,7.44,14.87,4.79,9.07,31.53,9.14,,
A B M Internatl.,,ABMINTLLTD,INE251C01025,Commercial Services & Supplies,Trading & Distributors,55.86,52.55,,50.61,-1.38,-3.34,0.00,4.58,-17.19,-2.18,-22.56,68.71,-46.60,-13.92,
A B Real Estate,500040,ABREL,INE055A01016,Realty,"Residential, Commercial Projects",1373.60,15342.52,,450.47,-319.61,-85.83,0.18,4.15,-2.64,-2.04,-55.45,-249.75,-59.40,-52.63,
A C J K Exports,544743,AEROPLANE,INE05TO01019,Agricultural Food & other Products,Other Agricultural Products,194.29,2011.90,16.25,2522.92,123.84,9.62,0.00,,15.85,9.63,14.51,72.25,10.13,20.37,0.20
A G Universal,,AGUL,INE0O6N01012,Industrial Products,Iron & Steel Products,45.90,25.17,314.62,73.48,0.08,1.80,0.00,1.16,0.40,4.66,20.01,-91.11,11.31,7.39,-11.95
A R C I,,,IN9148G01014,,,,4516.07,11.07,753.04,407.84,73.95,,,14.74,12.84,26.26,14.79,7.75,,
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,5.08,233.68,27.33,453.23,8.55,3.58,0.98,4.32,11.55,5.00,38.86,150.73,16.47,1.23,1.50
A.K.Capital Serv,530499,AKCAPIT,INE701G01012,Finance,Non Banking Financial Company (NBFC),1736.90,1146.35,10.02,577.13,114.45,70.35,3.45,1.10,10.95,9.53,15.22,34.44,10.24,12.08,1.25
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,15.61,277.11,65.53,364.38,4.23,0.68,0.00,5.56,15.36,4.56,5.88,-66.25,17.20,3.41,-2.93
AAA Technologies,543671,AAATECH,INE0D0U01013,Commercial Services & Supplies,Consulting Services,91.74,117.67,56.57,19.37,2.08,8.00,1.64,3.80,6.09,2.49,-24.28,-40.06,36.42,-3.79,-4.30
Aadhar Hsg. Fin.,544176,AADHARHFC,INE883F01010,Finance,Housing Finance Company,483.55,21189.49,18.37,3817.29,1153.40,76.17,0.00,2.79,15.94,7.46,17.72,21.54,13.25,21.71,0.73
Aakaar Medical,,AAKAAR,INE1GYP01013,Personal Products,Personal Care,62.70,88.86,13.38,66.96,6.64,15.41,0.00,1.63,17.07,12.06,8.74,10.12,8.20,26.88,0.29
Aakash Explor.,,AAKASH,INE087Z01024,Oil,Offshore Support Solution Drilling,8.75,88.59,25.46,116.50,3.48,12.39,0.00,1.39,5.63,6.01,21.32,192.44,6.54,6.70,-2.92
Aanchal Ispat,538812,,INE322R01022,Industrial Products,Iron & Steel Products,66.51,28.16,11.17,100.85,2.52,0.76,0.00,2.30,34.71,13.65,-22.31,407.32,6.17,-20.16,0.40
Aaradhya Dis.,,AARADHYA,INE124401014,"Paper, Forest & Jute Products",Paper & Paper Products,110.80,156.65,25.81,150.64,6.07,7.57,0.00,2.01,20.60,6.52,32.50,-40.84,12.93,21.90,0.34
Aarey Drugs,524412,AAREYDRUGS,INE198H01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,95.79,295.74,70.92,414.69,4.17,1.64,0.00,1.81,2.75,2.86,-7.69,0.24,26.38,4.08,40.76
Aarnav Fashions,539562,AARNAV,INE750R01016,Textiles & Apparels,Trading - Textile Products,32.17,135.88,14.88,451.77,9.13,6.60,0.00,0.69,4.88,9.43,16.47,-2.25,7.78,5.09,0.08
Aaron Industries,,AARON,INE721Z01010,Industrial Manufacturing,Industrial Products,128.45,269.06,32.46,97.21,8.29,19.52,0.39,5.53,14.97,5.19,21.56,11.57,15.31,18.11,3.91
Aartech Solonics,542580,AARTECH,INE01C001026,Electrical Equipment,Heavy Electrical Equipment,48.64,154.53,28.94,43.83,5.34,16.13,0.26,4.40,12.17,5.19,28.61,102.27,18.09,23.52,0.65
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,431.65,3939.67,20.45,2677.58,192.69,12.45,0.46,2.54,13.36,5.89,10.54,2.04,13.41,-1.89,3.77
Aarti Industries,524208,AARTIIND,INE769A01020,Chemicals & Petrochemicals,Specialty Chemicals,492.05,17847.97,34.17,9010.00,522.28,14.82,0.20,3.00,7.13,3.86,26.99,122.25,16.56,7.78,-3.84
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,858.80,7787.58,36.18,1969.04,215.27,21.62,0.41,3.66,8.59,3.99,1.20,-19.21,18.89,-2.20,-12.26
Aarti Surfactant,543210,AARTISURF,INE09EO01013,Chemicals & Petrochemicals,Specialty Chemicals,548.50,464.63,25.24,916.11,18.41,6.06,0.18,1.90,5.17,6.82,25.23,46.23,9.92,12.63,-26.57
Aarvi Encon,544850,AARVI,INE754X01016,Commercial Services & Supplies,Diversified Commercial Services,141.92,210.67,10.66,671.23,19.77,3.31,1.41,1.48,13.46,11.08,22.41,69.70,8.39,14.18,1.89
Aashka Hospitals,543346,,INE0EAX01014,Healthcare Services,Hospital,84.85,198.55,69.91,23.01,2.84,22.77,0.00,1.92,2.80,2.24,1.59,21.37,27.00,6.70,1.52
AastamangalamFin,511764,,INE819K01014,Finance,Non Banking Financial Company (NBFC),31.90,49.56,5.54,16.74,8.95,97.31,0.00,0.59,11.98,20.98,-2.79,7.83,4.77,72.42,0.06
Aastha Spintex,544808,AASTHA,INE2FMX01012,Textiles & Apparels,Other Textile Products,78.12,344.84,14.05,442.63,23.74,12.01,0.13,,16.84,10.39,26.05,1.02,8.21,22.76,0.08
Aatmaj Health,,AATMAJ,INE0OB201016,Healthcare Services,Hospital,18.25,41.25,57.29,22.53,0.72,10.65,0.00,0.81,1.43,4.71,17.53,12.50,15.10,-1.73,-1.14
AAVAS Financiers,541988,AAVAS,INE216P01012,Finance,Housing Finance Company,1304.20,10341.57,15.05,2764.62,686.92,73.82,0.00,2.05,13.91,8.26,13.32,16.97,11.84,18.61,1.00
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1267.70,1941.12,246.02,216.35,7.89,4.97,0.00,31.94,13.88,0.55,193.28,335.91,180.17,153.82,1.16
Aayush Wellness,539528,,INE430R01023,Food Products,Packaged Foods,27.09,131.85,31.10,165.96,4.24,1.26,0.09,10.75,38.75,3.46,95.50,-0.47,28.64,,
AB Cotspin,544522,ABCOTS,INE08PH01015,Textiles & Apparels,Other Textile Products,208.15,457.17,32.31,332.95,14.15,12.56,0.00,2.98,10.05,5.03,13.93,18.61,13.20,20.88,0.36
Aban Offshore,523204,ABAN,INE421A01028,Oil,Offshore Support Solution Drilling,14.99,87.49,,409.62,-528.90,38.08,0.00,,,0.36,-13.88,40.54,95.50,1.07,
ABans Enterprise,512165,ABANSENT,INE365O01028,Metals & Minerals Trading,Trading - Metals,27.86,194.32,6.08,14418.83,31.97,0.19,0.00,0.90,1.84,16.32,191.33,67.47,5.78,94.85,-0.16
Abans Financial,543712,AFSL,INE00ZE01026,Finance,Holding Company,202.07,1027.32,8.01,25747.33,128.33,0.80,0.00,0.82,8.29,17.76,427.79,17.06,5.56,173.77,0.57
Abate As Indust,531658,,INE454E01013,Healthcare Services,Hospital,8.94,140.90,11.46,141.58,12.30,10.04,0.00,0.81,5.10,9.47,156.72,262.83,9.06,,
Abbott India,500488,ABBOTINDIA,INE358A01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,26065.00,55388.13,34.30,7004.38,1614.68,28.11,2.01,11.60,34.35,4.10,6.29,11.18,23.59,9.01,1.94
ABC India,520123,,INE125D01011,Transport Services,Road Transport,65.00,35.21,,167.47,-1.60,-1.65,0.77,0.60,-3.01,-0.55,-7.16,-193.57,71.41,4.16,
