symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,ff_pct,traded_value_cr,traded_volume,traded_val_pct_of_ff,_ff_mc_raw,liquidity_score
ONGC.NS,290.0,292.82083384195965,289.79583146837024,284.0449993896484,258.4511808268229,250.29854064941406,294.20279629861244,219.43326162728522,307.5,True,True,True,True,True,True,True,False,False,22.641480821749237,noise,58.958009377758636,False,80.86999505684626,True,True,,,,,,,
HINDALCO.NS,1109.199951171875,1067.0250040690105,1030.3958350287544,995.332001953125,914.807002360026,868.1089389038086,1075.8891571782306,613.5008869488823,1115.0,True,True,True,True,True,True,True,True,False,68.59060925678455,noise,69.55720128140933,False,93.62333168561541,True,True,,,,,,,
TATASTEEL.NS,209.19000244140625,213.08583323160806,209.93333435058594,204.98140045166016,190.5842002360026,184.21040000915528,211.2737532247366,149.8000030517578,224.39999389648438,True,True,True,True,True,True,True,False,False,34.897243435266475,noise,71.05983162324053,False,86.60405338606031,True,True,,,,,,,
COALINDIA.NS,456.54998779296875,460.2958348592122,456.8180567423503,456.19000122070315,417.9578092447917,405.58441680908203,460.1014010985979,345.8827187630446,491.25,True,True,True,True,True,True,True,False,False,19.737235234508898,noise,73.88025049015855,False,79.33761739990113,True,True,,,,,,,
MOTHERSON.NS,136.17999267578125,130.4133326212565,123.97249984741211,121.062216796875,117.82711074829102,113.3483169555664,131.34525732754722,89.42248454216111,139.00999450683594,True,True,True,True,True,True,True,True,False,40.74043060173145,red,146.06513172748942,False,88.28472565496787,True,True,,,,,,,
SAIL.NS,201.2100067138672,192.52666600545248,179.9794447157118,171.71200012207032,153.07159998575847,146.66750038146972,194.81053935258336,116.63813628480024,209.6999969482422,True,True,True,True,True,True,True,True,False,66.28455411013799,noise,94.26041012104825,False,93.17844784972813,True,True,,,,,,,
BAJAJ-AUTO.NS,10549.5,10456.833333333334,9905.958333333334,9667.35,9423.286666666667,9254.8625,10408.802466758609,7858.5,10785.0,True,True,True,True,True,True,True,True,False,26.29148256664251,noise,51.70687812330147,False,82.94611962432032,True,True,,,,,,,
CHENNPETRO.NS,1016.5999755859375,1024.2250061035156,1030.7027757432725,1015.6410632324219,930.8260042317709,874.188440246582,1019.4169174470505,593.9771937515527,1159.699951171875,True,True,True,True,True,True,True,False,False,52.92055674701037,dry,13.373956150711761,False,91.15175481957489,True,True,,,,,,,
JINDALSTEL.NS,1209.9000244140625,1230.7083536783855,1230.1805589463975,1208.7480004882811,1123.6240002441407,1096.6608837890626,1224.6806584569092,880.9024479280388,1306.199951171875,True,True,True,True,True,True,True,False,False,26.59777222940871,noise,56.57634554957561,False,83.19327731092437,True,True,,,,,,,
ADANIPOWER.NS,219.32000732421875,220.34583536783853,205.52972284952799,189.8956005859375,161.304533589681,153.58885009765626,219.7501922782512,105.41999816894531,234.39999389648438,True,True,True,True,True,True,True,False,False,97.15930558791435,noise,34.96502811205715,False,96.04547701433515,True,True,,,,,,,
HINDZINC.NS,632.25,639.7208251953125,596.1198170979818,575.8362036132812,562.1376487223307,531.5513827514649,633.5528607400269,406.0805394823193,719.8477125036038,True,True,True,True,True,True,True,False,False,50.83903505562661,noise,58.93965306725235,False,90.60800790904597,True,True,,,,,,,
BHEL.NS,408.54998779296875,403.40833282470703,345.3177786933051,320.5888006591797,285.62880045572916,271.23605018615723,400.4085770239703,205.1199951171875,417.8999938964844,True,True,True,True,True,True,True,True,False,67.49518653739351,noise,43.90412374261645,False,93.37617399901137,True,True,,,,,,,
ADANIPORTS.NS,1786.9000244140625,1763.1916809082031,1627.0139024522568,1553.9780102539062,1504.1433374023438,1471.3045025634765,1765.0083641171605,1290.5,1823.9000244140625,True,True,True,True,True,True,True,True,False,29.683206342889612,noise,44.7500432545874,False,84.47849728126545,True,True,,,,,,,
OIL.NS,499.75,492.69583384195965,480.49444495307074,478.5040002441406,447.6806154378255,435.6975198364258,498.2286924213418,374.3675923313683,531.0,True,True,True,True,True,True,True,True,False,21.287367627388033,noise,33.27953476549464,False,80.02965892239249,True,True,,,,,,,
POLYCAB.NS,9263.5,9116.666666666666,8272.555555555555,7970.94,7709.496666666667,7587.7825,9078.554947394874,5727.946687671006,9316.5,True,True,True,True,True,True,True,True,False,54.90709076440376,noise,34.67783603909155,False,91.34948096885813,True,True,,,,,,,
AUROPHARMA.NS,1463.5,1500.1666666666667,1422.0277777777778,1385.0460009765625,1247.2693310546874,1204.755223083496,1495.7530889974273,1016.0999755859375,1550.0,True,True,True,True,True,True,True,False,False,21.817202136725356,red,199.82321398071986,False,80.27681660899654,True,True,,,,,,,
FEDERALBNK.NS,287.20001220703125,287.04583231608075,286.94444529215497,281.1030004882812,268.3766678873698,250.24610549926757,286.38768697689267,183.99616636888095,302.0,True,True,True,True,True,True,True,True,False,45.810751264750785,noise,77.32304910478544,False,89.66880869995056,True,True,,,,,,,
MAHABANK.NS,80.04000091552734,80.01500002543132,76.30138884650336,72.98859985351562,65.32528561909993,62.53872276306152,79.38217492431319,49.36936040991265,85.9000015258789,True,True,True,True,True,True,True,True,False,58.11825315778609,noise,59.1856087872013,False,91.89322787938706,True,True,,,,,,,
