symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
RELIANCE.NS,1360.4000244140625,1360.5999959309895,1368.7472262912327,1374.6380004882812,1444.86400390625,1429.6859558105468,1359.926428797237,1290.0,1611.800048828125,False,True,False,False,False,False,True,True,False,-4.4337097222459265,dry,15.759241396057153,False,Petroleum Products,Refineries & Marketing,54.668105774419864,False,False
LICI.NS,834.5999755859375,801.3041687011719,803.1736161973741,793.7370043945313,841.5086698404948,853.4607516479492,807.7965953017299,721.5,967.1755548172945,False,False,False,False,True,False,True,True,False,-0.9526206066653664,green,194.81113714134335,False,Insurance,Life Insurance,58.55369670804102,False,False
RAJESHEXPO.NS,112.0,110.80166689554851,114.65583313835992,109.63839981079101,154.22133265177408,162.15344959259033,110.55404468276221,80.37999725341797,237.8800048828125,False,False,False,False,True,True,False,True,False,-43.517069044233715,noise,30.056763191376202,False,Consumer Durables,"Gems, Jewellery And Watches",6.368051807879114,False,False
IOC.NS,144.25,139.01999791463217,141.82055536905924,142.76639984130858,155.4320024617513,151.12796875,139.84143787981245,127.92889076038279,186.60727196585654,False,True,False,False,True,False,True,True,False,7.26121489145064,noise,81.1920633919671,False,Petroleum Products,Refineries & Marketing,68.32164058283864,False,False
ONGC.NS,284.5,292.87083435058594,289.6972206963433,284.3509991455078,258.79220591227215,250.57791259765625,292.43865151704654,219.43323145150126,307.5,True,True,True,True,True,False,True,False,False,20.596141685036386,noise,38.86310306642763,False,Oil,Oil Exploration & Production,78.79114948731785,True,False
SBIN.NS,961.9000244140625,957.8942667643229,1023.1309051513672,1024.8868371582032,1012.1415714518229,963.8690640258789,964.4146618384921,765.3052827270537,1212.8384373028666,False,True,True,True,False,False,True,False,False,24.41092422798381,noise,34.80148419875887,False,Banks,Public Sector Bank,81.05774419859686,True,False
BPCL.NS,306.3999938964844,293.41666920979816,299.6388914320204,298.46500122070313,336.2666017659505,329.2486100769043,295.96729588489535,266.6000061035156,391.6499938964844,False,True,False,False,True,False,True,True,False,3.3531644235306413,noise,69.26635075745374,False,Petroleum Products,Refineries & Marketing,63.24878575283325,False,False
HINDPETRO.NS,402.45001220703125,380.19166310628253,372.7416636149089,365.56599670410156,425.1318709309896,419.8958934020996,384.2285443988513,316.20001220703125,508.45001220703125,False,True,False,False,True,False,True,True,False,3.0629611414397795,noise,79.43705074729918,False,Petroleum Products,Refineries & Marketing,62.7630868861306,False,False
TMPV.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,54.06950740820626,False,Automobiles,Passenger Cars & Utility Vehicles,,False,False
HDFCBANK.NS,783.4000244140625,765.1291707356771,780.9680582682291,784.5510021972656,902.5593326822917,920.2557495117187,768.8879776385738,726.6500244140625,1020.5,False,False,False,False,False,False,True,True,False,-17.584679688721504,noise,32.61571792475011,False,Banks,Private Sector Bank,35.07825148407987,False,False
LT.NS,4016.60009765625,3898.1903483072915,3934.5114542643228,3816.6570361328127,3927.0707845052084,3847.1816198730467,3923.1621967033566,3256.294765660181,4397.052414797838,True,True,True,False,True,False,True,True,False,14.061234515724186,noise,41.67601003733446,False,Construction,Civil Construction,74.04209390178089,True,False
TCS.NS,2306.10009765625,2284.8502807617188,2405.4473944769966,2395.3861767578123,2780.56333984375,2821.563552246094,2297.632724378704,2176.883514966109,3404.054653859175,False,False,False,False,False,False,False,True,False,-31.41568323463919,noise,56.93859503517362,False,IT - Software,Computers - Software & Consulting,17.161359956826765,False,False
