symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
STLTECH.NS,486.3500061035156,423.2833302815755,324.24860933091907,285.0913989257813,174.42759938557944,161.17199935913087,428.599912715408,67.69999694824219,486.3500061035156,True,True,True,True,True,True,True,True,False,610.622426584359,dry,4.425859021567009,False,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,100.0,True,True,23742.03,362.52,7453962,1.5269
CUPID.NS,128.10000610351562,122.00333468119304,113.43527793884277,104.40400024414062,85.26160016377767,73.7453101158142,122.58453318651142,17.68000030517578,133.9199981689453,True,True,True,True,True,True,True,True,False,545.925783443999,noise,54.50764845113232,False,Personal Products,Personal Care,99.95054401582591,True,True,17234.52,250.57,19549527,1.4539
MTARTECH.NS,7917.5,7301.916666666667,5928.872233072917,5253.976010742187,3598.719996744792,3115.046496582031,7480.143202290701,1390.5,8449.5,True,True,True,True,True,True,True,True,False,376.01152934362386,noise,64.04316894424628,False,Aerospace & Defense,Aerospace & Defense,99.85163204747775,True,True,24333.91,822.4,1039570,3.3797
VMARCIND.NS,1154.300048828125,1112.7291666666667,945.165279812283,863.8230017089844,726.2106677246094,659.4217510986329,1102.5925828565678,271.3500061035156,1260.0,True,True,True,True,True,True,True,True,False,264.247419078581,green,176.81289167412712,False,Industrial Products,Cables - Electricals,99.60435212660732,True,True,441.28,0.78,43120,0.1766
VENUSREM.NS,1192.949951171875,1010.2958374023438,989.3138902452257,957.152001953125,772.9163334147136,696.6774998474122,1056.3542291275553,331.5,1192.949951171875,True,True,True,True,True,True,True,True,False,257.4381876170412,green,238.3747326572121,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.55489614243324,True,True,1596.49,6.81,57058,0.4264
HOACFOODS.NS,552.9500122070312,497.18333689371747,449.0236129760742,422.5850018310547,358.7026674397786,324.2645004272461,504.3480863938202,149.64999389648438,558.9000244140625,True,True,True,True,True,True,True,True,False,235.12121951941288,noise,51.244509516837475,False,Food Products,Other Food Products,99.45598417408506,True,True,56.3,0.07,4739,0.1233
BAJAJCON.NS,560.7000122070312,542.2625020345052,482.1916681925456,445.5140014648438,349.5102677408854,321.23965057373044,544.627206411988,168.25,581.0,True,True,True,True,True,True,True,True,False,227.83723101733648,dry,17.799885230606442,False,Personal Products,Personal Care,99.3570722057369,True,True,7323.77,77.29,1378463,1.0553
ATHERENERG.NS,972.4500122070312,926.6666666666666,898.897220187717,857.282998046875,741.2236657714843,684.0639993286132,923.294003269448,301.0,989.4000244140625,True,True,True,True,True,True,True,True,False,210.53809074270225,ppv,151.80962701194636,False,Automobiles,2/3 Wheelers,99.20870425321465,True,True,37202.92,411.96,4240847,1.1073
BLISSGVS.NS,381.04998779296875,295.5791600545247,273.81055492824976,256.75339874267576,201.82747263590494,191.04252281188965,308.33978296864194,117.7448072129227,381.04998779296875,True,True,True,True,True,True,True,True,False,203.6356774375852,ppv,663.4693925338657,True,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.15924826904056,True,True,4031.09,73.65,1932924,1.8272
UCL.NS,155.75,145.72499974568686,121.03194448682997,107.57199981689453,70.56366673787434,64.25475021362304,147.77518081227686,38.0,155.75,True,True,True,True,True,True,True,True,False,199.51923076923075,dry,0.0,False,Chemicals & Petrochemicals,Dyes And Pigments,99.10979228486647,True,True,67.03,0.18,30172,0.2685
