symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
TMPV.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,139.4548075080449,False,Automobiles,Passenger Cars & Utility Vehicles,,False,False
ADANIPOWER.NS,244.2100067138672,222.18500264485678,209.98833423190646,193.89160064697265,162.40573374430338,154.82170013427734,226.22500669532272,105.41999816894531,245.49000549316406,True,True,True,True,True,True,True,True,False,120.52556567166471,ppv,130.98659280284795,False,Power,Integrated Power Utilities,96.93372898120673,True,True
NFL.NS,78.62000274658203,75.49583435058594,76.08944511413574,74.13140029907227,81.52426661173503,84.79195140838623,76.35953476872577,63.349998474121094,110.42103492634882,False,False,False,False,True,False,False,True,False,-17.74441485710272,ppv,85.52352401612568,False,Fertilizers & Agrochemicals,Fertilizers,34.619188921859546,False,False
TATACOMM.NS,2013.5999755859375,1742.2333374023438,1605.8361070421006,1552.4540014648437,1684.252001953125,1675.698002319336,1820.3376193268666,1322.5,2038.0,True,True,False,False,True,True,True,True,False,22.565613693659593,ppv,241.75770927787963,False,Telecom - Services,Telecom - Cellular & Fixed line services,80.1186943620178,True,False
RCF.NS,132.89999389648438,126.11166636149089,127.83138910929362,124.38800018310548,133.50871434529623,137.23920764923096,128.16139982972828,106.0,163.74799804590702,False,False,False,False,True,False,True,True,False,-11.072941303796258,ppv,75.82348397791407,False,Fertilizers & Agrochemicals,Fertilizers,44.90603363006924,False,False
BANDHANBNK.NS,200.36000061035156,195.20000076293945,186.18750042385525,177.88800018310548,163.63413360595703,163.91168045043946,195.74966716288827,134.25,212.66000366210938,True,False,True,True,True,True,True,True,False,22.09560875676704,ppv,106.80474045355044,False,Banks,Private Sector Bank,79.77250247279922,True,False
SUZLON.NS,54.75,53.27666664123535,52.19972229003906,49.11880004882813,50.274599914550784,52.21159994125366,53.70294698217061,38.189998626708984,74.30000305175781,True,False,False,False,True,True,False,True,False,-10.260610545409188,ppv,141.07650343201487,False,Electrical Equipment,Heavy Electrical Equipment,46.29080118694362,False,False
IGL.NS,167.2100067138672,157.2025006612142,161.6694458855523,159.07560119628906,176.62131632486978,183.8226119995117,159.29001060533693,141.74000549316406,223.11416887517555,False,False,False,False,True,False,False,True,False,-15.983226508152558,ppv,206.2606034401188,False,Gas,LPG/CNG/PNG/LNG Supplier,37.43818001978239,False,False
ARE&M.NS,888.5,837.9083455403646,825.4666731092665,803.9690063476562,876.3433878580729,904.1019012451172,848.5776366121847,670.0,1082.0016742927928,False,False,False,False,True,True,True,True,False,-11.282588777538649,ppv,281.4522316214079,False,Auto Components,Auto Components & Equipments,44.41147378832839,False,False
BHARATCOAL.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,264.0337838907707,False,Consumable Fuels,Coal,,False,False
CHAMBLFERT.NS,478.0,448.8875020345052,449.7138883802626,443.7439996337891,450.05779357910154,470.01365005493165,455.4250281092178,399.75,592.7281336189507,True,False,False,False,True,False,True,True,False,-17.48684607982677,ppv,241.9869558042008,False,Fertilizers & Agrochemicals,Fertilizers,35.06429277942631,False,False
TVSSCS.NS,123.44999694824219,116.05249977111816,113.90749994913737,109.95740005493164,111.95333358764648,116.22020042419433,117.88608481894941,90.31999969482422,147.0,True,False,False,False,True,True,True,True,False,-2.357038163205316,ppv,288.52750576921215,False,Transport Services,Logistics Solution Provider,57.27002967359051,False,False
KTKBANK.NS,269.1000061035156,255.30000178019205,253.39277691311307,245.55579925537108,212.19519927978516,201.92433311462403,260.82741081332307,164.46822856250571,278.0,True,True,True,True,True,True,True,True,False,40.555268505914995,ppv,103.59482478336024,False,Banks,Private Sector Bank,87.53709198813057,True,True
PRSMJOHNSN.NS,125.7699966430664,123.62916628519694,127.50722249348958,126.87940032958984,131.91846674601237,136.99380001068116,123.1537155096207,117.31999969482422,176.0,False,False,False,False,False,False,False,True,False,-10.99080401505923,ppv,116.03820375068284,False,Cement & Cement Products,Cement & Cement Products,45.05440158259149,False,False
SURYAROSNI.NS,233.39999389648438,240.18333180745444,240.50472174750433,230.78199981689454,248.88308217366537,259.04325492858885,238.49521449503493,187.35000610351562,352.2775337852245,False,False,False,False,True,False,False,False,False,-23.568788131655083,ppv,1201.2638494350592,False,Industrial Products,Iron & Steel Products,26.508407517309596,False,False
SPARC.NS,238.1999969482422,185.35499827067056,158.7997211880154,147.36139907836915,138.3877998860677,138.77720016479492,197.06106592540573,108.0,248.75,True,False,False,True,True,True,True,True,False,46.575598424638656,ppv,491.7869521187475,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,89.36696340257171,True,False
TATATECH.NS,700.4000244140625,650.1541646321615,603.3430531819662,584.1209973144531,628.9609997558593,643.7084994506836,661.1116636500129,507.3999938964844,784.6245386595251,True,False,False,False,True,True,True,True,False,-4.3432573204534535,ppv,119.2652800368486,False,IT - Services,IT Enabled Services,54.3026706231454,False,False
FACT.NS,905.8499755859375,876.8500010172526,881.8249986436632,857.9119995117187,847.1916670735677,873.7555953979493,883.2442355615544,652.0999755859375,1111.5614966408573,True,False,False,False,True,True,True,True,False,0.9870591296471387,ppv,43.14080707862768,False,Fertilizers & Agrochemicals,Fertilizers,61.17705242334323,False,False
MINDACORP.NS,597.1500244140625,535.966667175293,527.4458355373806,520.553002319336,558.0288944498698,549.5000071716308,551.8473019267602,443.7837866650364,619.3218146167902,True,True,False,False,True,True,True,True,False,18.53796042671072,ppv,269.8941078751139,False,Auto Components,Auto Components & Equipments,77.4975272007913,True,False
ATGL.NS,710.1500244140625,629.2791595458984,617.2333306206597,593.8559985351562,577.6840008544922,588.5069993591309,646.9705514444548,462.79998779296875,798.0,True,False,False,True,True,True,True,True,False,7.957460201286315,ppv,322.2014629636365,True,Gas,LPG/CNG/PNG/LNG Supplier,68.94164193867458,False,False
PATELENG.NS,27.799999237060547,26.52583344777425,27.382222122616238,26.495599899291992,29.47189473470052,31.621571006774904,26.687404260846325,22.0,46.400001525878906,False,False,False,False,True,False,False,True,False,-33.635713434910464,ppv,126.32230092146976,False,Construction,Civil Construction,15.2324431256182,False,False
WABAG.NS,1514.5,1413.4583333333333,1427.4250081380208,1369.7520043945312,1316.3866682942707,1363.731001586914,1437.8510602776141,1033.0,1675.687625771844,True,False,False,True,True,True,True,True,False,-0.5112289871719189,ppv,165.62659263245746,False,Other Utilities,Water Supply & Management,59.34718100890207,False,False
CEIGALL.NS,352.70001220703125,342.91666920979816,326.81805589463977,311.45300048828125,278.2538001505534,274.07279960632326,341.62499731061706,222.61000061035156,386.3999938964844,True,True,True,True,True,True,True,True,False,38.749022990289305,ppv,155.0263656582508,False,Construction,Civil Construction,86.84470820969338,True,True
IFBIND.NS,1169.9000244140625,1101.6500040690105,1118.2958289252388,1077.4169970703124,1350.1923299153646,1400.2222467041015,1100.4453571066747,883.2000122070312,2019.800048828125,False,False,False,False,True,True,False,True,False,-13.257205696675134,ppv,2298.8510971833466,False,Consumer Durables,Household Appliances,41.938674579624134,False,False
SSWL.NS,214.30999755859375,209.59833526611328,210.3550008138021,202.68460083007812,204.62480092366536,209.66298271179198,210.66588355475247,169.0,278.5490644820506,True,False,False,False,True,False,True,True,False,-9.682068472534,ppv,312.3619541386549,False,Auto Components,Auto Components & Equipments,46.88427299703264,False,False
RAMRAT.NS,471.8500061035156,434.6958363850911,404.96527608235675,376.8509991455078,332.32699910481773,334.4965533447266,443.55723414780033,268.0,477.5,True,False,True,True,True,True,True,True,False,44.97111375562057,ppv,183.98953485875614,False,Electrical Equipment,Other Electrical Equipment,88.52621167161226,True,False
ASAHIINDIA.NS,890.0,835.0833333333334,841.768057929145,837.6620031738281,922.6966691080729,908.3552560424805,848.25351991363,686.6682844697214,1074.0,False,True,False,False,True,False,True,True,False,25.47326451321561,ppv,55.283727052327755,False,Auto Components,Auto Components & Equipments,81.70128585558852,True,False
