symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
TATASTEEL.NS,211.5500030517578,212.35916646321616,211.71027840508356,206.5858004760742,191.6306669108073,185.2944500732422,211.63090638205216,149.8000030517578,224.39999389648438,True,True,True,True,True,True,True,False,False,33.212405038844416,noise,58.04375310547274,False,True,Ferrous Metals,Iron & Steel,85.05634492895639,True,True,263505.19,660.64,31268554,0.2507
MOTHERSON.NS,141.60000610351562,133.64000129699707,127.43388917711046,122.63084274291992,118.72874399820964,114.19107498168945,135.85496044947632,89.42248454216111,146.6999969482422,True,True,True,True,True,True,True,True,False,42.38069272036953,noise,80.64527537844484,False,True,Auto Components,Auto Components & Equipments,88.04507594316512,True,True,149132.77,322.5,22773634,0.2162
AUROPHARMA.NS,1436.0999755859375,1487.4166666666667,1434.2944437662761,1396.8199975585937,1256.008662923177,1211.4377670288086,1467.699575335584,1016.0999755859375,1550.0,True,True,True,True,True,True,True,False,False,20.415233661437405,noise,36.58626361875169,False,True,Pharmaceuticals & Biotechnology,Pharmaceuticals,78.68691817736403,True,True,82687.56,209.84,1460131,0.2538
GOKULAGRO.NS,232.27000427246094,232.54499944051108,225.18999989827475,214.005,189.21146616617838,186.36022468566895,230.76172711261182,119.20999908447266,249.9199981689453,True,True,True,True,True,True,True,True,False,90.85456869094506,dry,5.5384965656294955,False,True,Agricultural Food & other Products,Edible Oil,95.24742773150416,True,True,6841.59,60.44,2606837,0.8834
APARINDS.NS,13331.0,12698.0,12179.833333333334,11514.99,9776.06,9434.17,12834.178282959729,6801.0,13580.0,True,True,True,True,True,True,True,True,False,75.93711449962466,red,194.20530655942443,False,True,Electrical Equipment,Other Electrical Equipment,94.31651151396375,True,True,53479.94,155.44,116766,0.2906
CESC.NS,184.42999267578125,181.5124969482422,179.4172214931912,172.01859924316406,166.53071095784506,164.51344169616698,182.77166212275398,138.1199951171875,204.5,True,True,True,True,True,True,True,True,False,12.622066288296852,noise,33.40070855371134,False,True,Power,Integrated Power Utilities,72.75845173934346,True,True,24438.22,65.57,3556489,0.2683
J&KBANK.NS,143.64999389648438,136.71750005086264,132.65833367241754,128.1338003540039,113.2873334757487,110.66927116394044,139.16936317138763,97.3499984741211,145.0,True,True,True,True,True,True,True,True,False,45.9104413210548,noise,31.56257318761308,False,True,Banks,Private Sector Bank,89.3189612934836,True,True,15804.17,83.78,5837216,0.5301
JAYNECOIND.NS,103.5999984741211,104.05416742960612,102.27722252739801,94.31500030517579,82.64286661783854,78.2511499786377,104.3585517239692,34.900001525878906,117.0,True,True,True,True,True,True,True,False,False,159.1943840633654,noise,26.511560153766943,False,True,Industrial Products,Iron & Steel Products,98.33414992650663,True,True,10058.57,64.43,6219506,0.6405
BBOX.NS,1016.2999877929688,937.7833302815756,718.8777770996094,652.9639996337891,570.8473331705729,552.5896226501465,946.3941417452962,435.04998779296875,1037.3499755859375,True,True,True,True,True,True,True,True,False,112.34979757911118,noise,72.93315312445829,False,True,IT - Services,IT Enabled Services,96.32533072023519,True,True,18076.05,101.41,996402,0.561
FINCABLES.NS,1147.75,1073.008336385091,1010.0763888888889,958.5060021972656,843.0940030924479,839.0150149536133,1091.851962049395,700.7999877929688,1184.800048828125,True,True,True,True,True,True,True,True,False,18.6205607106408,noise,88.57944886916673,False,True,Industrial Products,Cables - Electricals,77.85399314061733,True,True,17544.44,72.54,632368,0.4135
TMB.NS,686.25,681.8208262125651,688.9847242567274,665.4940014648438,593.0953350830079,551.8910012817382,685.5905057591261,411.79998779296875,770.0,True,True,True,True,True,True,True,True,False,56.082294863064355,noise,25.13457491649281,False,True,Banks,Private Sector Bank,91.27878490935815,True,True,10870.83,31.48,458504,0.2895
ANGELONE.NS,337.1000061035156,325.80000559488934,314.25333404541016,291.2574652099609,264.2934641520182,256.138126373291,332.3181344339651,206.75854823075167,351.0,True,True,True,True,True,True,True,True,False,15.604013851433663,noise,29.388295505668125,False,True,Capital Markets,Stockbroking & Allied,75.64919157275845,True,True,30830.11,348.91,10336502,1.1317
SONACOMS.NS,613.9000244140625,591.8041636149088,583.3666619194878,559.7789978027344,515.5563810221354,495.72320388793946,598.8411286337766,400.9971212731793,621.7999877929688,True,True,True,True,True,True,True,True,False,13.386656722266466,noise,32.68291542775846,False,True,Auto Components,Auto Components & Equipments,73.34639882410583,True,True,38145.89,142.61,2325495,0.3739
USHAMART.NS,509.5,477.79166920979816,460.42777845594617,444.0560003662109,438.19133260091144,430.6572492980957,483.63180701361216,299.9014271132958,518.0,True,True,True,True,True,True,True,True,False,61.93438664958797,noise,91.85050874330811,False,True,Industrial Products,Iron & Steel Products,92.25869671729544,True,True,15498.54,33.59,659718,0.2167
ENGINERSIN.NS,234.14999389648438,237.18333307902017,240.4558342827691,226.95500061035156,205.56184712727864,203.61169639587402,235.397327658344,162.352472800208,267.0,True,True,True,True,True,True,True,False,False,19.683840227018813,noise,41.1560459642271,False,True,Construction,Civil Construction,78.39294463498285,True,True,13157.41,114.68,4898778,0.8716
CARRARO.NS,549.0,574.0541687011719,561.466668870714,530.0590026855468,527.5153344726563,507.10959869384766,573.9053099778662,396.8366996501002,667.5499877929688,True,True,True,True,True,True,True,False,False,25.54108512006237,noise,80.33071117550907,False,True,Auto Components,Auto Components & Equipments,81.57765801077903,True,True,3121.15,14.01,255161,0.4488
UNIPARTS.NS,616.0499877929688,560.9583333333334,536.0402772691515,514.6070007324219,485.73621663411456,462.15498901367187,576.7968862114104,305.3782881479897,654.0,True,True,True,True,True,True,True,True,False,93.6640758096692,noise,73.23927039388742,False,True,Auto Components,Auto Components & Equipments,95.49240568348849,True,True,2741.7,9.82,161602,0.3583
NGLFINE.NS,2853.39990234375,2516.949991861979,2381.1722208658853,2318.52599609375,1882.6546638997395,1767.3755059814453,2632.803550690456,978.5933435058594,3005.0,True,True,True,True,True,True,True,True,False,131.5453744716815,noise,71.50133975531759,False,True,Pharmaceuticals & Biotechnology,Pharmaceuticals,97.15825575698187,True,True,1763.7,3.51,12280,0.1988
BHARATWIRE.NS,230.22000122070312,226.09999974568686,219.62388865152994,202.88080047607423,187.1892000325521,183.4398500061035,226.40526070288925,148.00999450683594,262.0,True,True,True,True,True,True,True,True,False,25.741441818500334,dry,11.671121252502417,False,True,Industrial Products,Iron & Steel Products,81.72464478196963,True,True,1579.84,21.81,947451,1.3807
IDEAFORGE.NS,860.0,806.3541666666666,659.8694466484917,588.313002319336,496.04499959309896,494.4910003662109,811.321564772515,366.0,888.0,True,True,True,True,True,True,True,True,False,67.78851243429833,dry,12.52425206595283,False,True,Aerospace & Defense,Aerospace & Defense,93.09162175404214,True,True,3727.11,181.55,2113515,4.8711
