symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
SWANDEF.NS,2135.300048828125,1946.6416829427083,1888.1527777777778,1895.96400390625,1592.1599983723959,1320.7104991149902,1978.509272097043,162.47000122070312,2489.0,True,True,True,True,True,True,True,True,False,1214.2734244997528,ppv,181.0914394651003,False,False,Industrial Manufacturing,Ship Building & Allied Services,100.0,True,True,,,,
STLTECH.NS,562.9500122070312,464.8958333333333,360.94444359673395,312.55019927978515,185.44926620483398,169.28284950256347,487.18377796730726,69.76000213623047,562.9500122070312,True,True,True,True,True,True,True,True,False,685.913770477171,dry,14.603487298620802,False,False,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,99.94848016486347,True,True,,,,
CUPID.NS,129.08999633789062,123.66083145141602,117.7808329264323,108.40979965209961,87.35491996765137,75.65901996612548,126.10704046050498,17.68000030517578,133.9199981689453,True,True,True,True,True,True,True,True,False,514.0709745660832,noise,60.87945087130369,False,False,Personal Products,Personal Care,99.89696032972695,True,True,,,,
VMARCIND.NS,1386.0999755859375,1147.6125081380208,995.3444485134548,898.0110021972656,739.8436682128906,671.3395013427735,1176.8226150392798,271.3500061035156,1397.300048828125,True,True,True,True,True,True,True,True,False,335.19622467376377,ppv,285.4828912735372,False,False,Industrial Products,Cables - Electricals,99.74240082431737,True,True,,,,
BHAGYANGR.NS,307.8500061035156,292.9958318074544,264.37416712443036,231.80640014648438,177.47866678873697,156.4338000869751,291.21111086996484,70.20999908447266,351.8999938964844,True,True,True,True,True,True,True,True,False,284.42807075977447,noise,68.09623669413993,False,False,Non - Ferrous Metals,Copper,99.58784131890778,True,True,,,,
VENUSREM.NS,1344.0999755859375,1115.7500101725261,1026.3972269694011,985.8530029296875,794.3066672770183,711.3770002746583,1175.3646250977922,352.0,1344.0999755859375,True,True,True,True,True,True,True,True,False,269.8170120903176,noise,60.700856506078516,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.53632148377125,True,True,,,,
PRIZOR.NS,658.75,653.1333312988281,600.8624996609158,542.2889990234376,385.33333302815754,363.77449974060056,649.3693163102297,177.0,739.0,True,True,True,True,True,True,True,True,False,262.2490942480451,noise,49.359658484525085,False,False,Industrial Manufacturing,Industrial Products,99.48480164863473,True,True,,,,
HOACFOODS.NS,587.0,515.3125025431315,464.3833355373806,436.52600158691405,365.211000773112,329.73750045776364,537.8421142766256,149.64999389648438,600.0,True,True,True,True,True,True,True,True,False,260.1226993865031,green,137.28323699421964,False,False,Food Products,Other Food Products,99.4332818134982,True,True,,,,
SALSTEEL.NS,59.16999816894531,58.746666272481285,56.171110683017304,51.13339973449707,44.55019999186198,39.40150000572205,58.14793240480334,14.369999885559082,63.4900016784668,True,True,True,True,True,True,True,True,False,227.81163806066277,noise,73.79506399275527,False,False,Ferrous Metals,Sponge Iron,99.33024214322515,True,True,,,,
GVPIL.NS,821.9000244140625,749.1041666666666,635.2361068725586,575.0209973144531,427.6059989420573,406.76424942016604,780.6775934756231,253.1999969482422,897.4000244140625,True,True,True,True,True,True,True,True,False,220.52881264109857,red,194.25216893823261,False,False,Electrical Equipment,Heavy Electrical Equipment,99.27872230808862,True,True,,,,
