symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
HINDALCO.NS,1138.9000244140625,1124.0750020345051,1074.0861138237847,1032.0770031738282,935.3980029296876,888.6597525024414,1127.0004585815484,613.5008869488823,1176.0,True,True,True,True,True,True,True,True,False,81.78611948990839,noise,82.81157564704255,False,True,Non - Ferrous Metals,Aluminium,94.9317738791423,True,True,252707.67,705.37,6241671,0.2791
TATASTEEL.NS,211.88999938964844,210.6533342997233,212.40527894761829,208.40700073242186,192.87153361002603,186.60025009155274,211.40121737106665,149.8000030517578,224.39999389648438,True,True,True,True,True,True,True,True,False,36.33764797525223,noise,78.28803164893604,False,True,Ferrous Metals,Iron & Steel,86.64717348927876,True,True,263754.63,667.89,31581937,0.2532
JSWSTEEL.NS,1312.9000244140625,1297.1333516438801,1278.3611212836372,1245.6380078125,1200.9906722005207,1178.72650390625,1301.0041231445157,959.5660768846707,1328.0,True,True,True,True,True,True,True,True,False,34.49483608778041,noise,41.48382176053295,False,True,Ferrous Metals,Iron & Steel,85.96491228070175,True,True,319942.63,257.91,1967451,0.0806
COALINDIA.NS,472.29998779296875,463.74582926432294,461.25833299424914,457.43,423.4234920247396,410.4850914001465,466.8593270487937,345.88274891411857,491.25,True,True,True,True,True,True,True,True,False,26.471094412818253,noise,91.79340781458775,False,True,Consumable Fuels,Coal,83.08966861598441,True,True,292575.53,786.05,16557087,0.2687
MOTHERSON.NS,145.61000061035156,140.46000162760416,130.89500024583606,125.74932876586914,120.02504236857096,115.51057106018067,141.6278925419681,89.42248454216111,151.77000427246094,True,True,True,True,True,True,True,True,False,45.49129608761895,noise,78.05800640892934,False,True,Auto Components,Auto Components & Equipments,89.32748538011695,True,True,152966.13,348.43,23988618,0.2278
SAIL.NS,203.8699951171875,202.7258326212565,190.40388827853732,181.07119995117188,157.52706670125326,150.38214485168456,202.70675797574035,116.63813628480024,209.6999969482422,True,True,True,True,True,True,True,True,False,57.95023503105965,noise,37.0776792001757,False,True,Ferrous Metals,Iron & Steel,92.39766081871345,True,True,84857.51,538.51,26212691,0.6346
BAJAJ-AUTO.NS,10259.0,10415.229654947916,10070.871771918402,9783.95109375,9379.280442708334,9232.378381347657,10350.505999660047,7749.439654454236,10750.0,True,True,True,True,True,True,True,False,False,25.295599996445752,noise,88.47229536433044,False,True,Automobiles,2/3 Wheelers,82.50487329434698,True,True,285834.62,405.21,395908,0.1418
CHENNPETRO.NS,1189.800048828125,1072.7666625976562,1057.8861117892795,1036.6475671386718,951.2035469563803,894.2762844848633,1105.9971469408993,593.9771937515527,1225.0,True,True,True,True,True,True,True,True,False,81.17486939100687,noise,161.21167776349347,False,True,Petroleum Products,Refineries & Marketing,94.88304093567251,True,True,17811.29,307.91,2574298,1.7287
ADANIPOWER.NS,232.52000427246094,234.27166875203451,222.9308344523112,206.14800048828124,165.83513376871744,159.1234001159668,234.25295168558958,105.41999816894531,254.1999969482422,True,True,True,True,True,True,True,False,False,109.43975076852306,noise,45.01702920463803,False,True,Power,Integrated Power Utilities,96.39376218323586,True,True,450104.76,1101.18,47179822,0.2446
HINDZINC.NS,610.5499877929688,631.3124949137369,619.5356055365669,592.2889990234376,570.9216247558594,541.3742601013183,626.6500406526109,406.0805394823193,719.8477125036038,True,True,True,True,True,True,True,False,False,39.924189932635116,noise,56.600515518403824,False,True,Non - Ferrous Metals,Zinc,87.67056530214425,True,True,258399.38,375.57,6141204,0.1453
