symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
INDIANB.NS,849.5999755859375,827.3015492757162,825.4518619113499,850.1309899902344,849.5033194986979,819.377816772461,833.4844599938531,593.3598253591498,980.0229061203939,True,True,True,True,False,True,True,True,True,38.831791355850065,noise,41.11229760248661,False,False,Banks,Public Sector Bank,88.04083616917842,True,False
TRENT.NS,2901.10009765625,2785.0866088867188,2785.02047390408,2763.95888671875,3056.5690380859373,3529.0065002441406,2788.390030200544,2180.44477277369,6251.7619882765375,False,False,False,False,True,True,False,True,True,-49.674292732508896,ppv,138.99442844622433,False,False,Retailing,Speciality Retail,5.104521147301896,False,False
SHRIPISTON.NS,3741.89990234375,3436.8583170572915,3429.2305569118926,3425.452001953125,3107.912081705729,2992.4723864746093,3476.2801712384053,2297.412275557539,3764.89990234375,True,True,True,True,True,True,True,True,True,50.73145483457062,ppv,273.23695010848905,False,False,Auto Components,Auto Components & Equipments,91.24939231891103,True,True
KIRLOSBROS.NS,1753.0,1676.1833394368489,1672.3944532606338,1666.7280078125,1622.284668782552,1708.9650024414063,1696.1799081258182,1335.0,2466.5099491130736,True,False,False,False,True,True,False,True,True,-3.7253509743964575,green,102.47587360093758,False,False,Industrial Products,"Compressors, Pumps & Diesel Engines",59.84443364122508,False,False
BAJAJHIND.NS,19.81999969482422,19.040833314259846,19.025277667575413,18.824799995422364,18.156533279418944,18.94154996871948,19.077272458916525,14.850000381469727,29.639999389648438,True,False,False,False,True,True,False,True,True,-22.759158952905732,ppv,206.56294346816537,False,False,Agricultural Food & other Products,Sugar,33.057851239669425,False,False
BCLIND.NS,38.33000183105469,35.1333335240682,34.83416673872206,34.31040000915527,31.943866793314616,34.070221948623654,36.3895299210393,25.530000686645508,48.98873137999311,True,False,False,True,True,True,True,True,True,-10.688710694577097,ppv,127.9470583887004,False,False,Beverages,Breweries & Distilleries,50.70491006319884,False,False
HINDWAREAP.NS,255.00999450683594,226.12333170572916,225.89361148410373,222.0524008178711,245.99806711832682,269.5778005218506,231.36821254398293,170.5,392.70001220703125,False,False,False,False,True,True,False,True,True,-11.42410562241074,ppv,805.4339612802844,False,False,Consumer Durables,Sanitary Ware,49.63539134662129,False,False
SMCGLOBAL.NS,73.11000061035156,64.16116205851237,63.825236002604164,63.54305892944336,70.46326708475749,69.7409281539917,66.92459377819357,53.98783826986195,93.45573319525865,True,True,False,False,True,True,True,True,True,18.821365534940316,ppv,204.41891591405644,False,False,Capital Markets,Stockbroking & Allied,80.06806028196402,True,False
THELEELA.NS,458.20001220703125,418.39583587646484,417.9833340115017,420.4340008544922,422.8413334147135,423.521499786377,423.29353976392116,382.5,474.3999938964844,True,False,False,False,True,False,True,True,True,7.98963596261133,ppv,576.7669765540296,False,False,Leisure Services,Hotels & Resorts,71.75498298492951,True,False
INDOCO.NS,239.57000732421875,216.3641675313314,214.8269445631239,212.94940063476562,219.11286610921223,235.8403133392334,223.05012763918154,162.19000244140625,349.5517008402885,True,False,False,False,True,True,False,True,True,-14.592030048798621,noise,64.7324034525221,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,44.28779776373359,False,False
CAMLINFINE.NS,138.63999938964844,126.46750068664551,126.15166685316298,121.03900039672851,139.55426696777343,156.24640007019042,129.83936215225222,96.20999908447266,333.29998779296875,False,False,False,False,True,True,False,True,True,-51.37827303523702,ppv,161.40593052904683,False,False,Chemicals & Petrochemicals,Specialty Chemicals,4.521147301895965,False,False
BORORENEW.NS,547.4500122070312,522.2249984741211,521.6555548773872,509.1809997558594,512.4730000813802,535.9664999389648,528.4479429016632,374.3999938964844,721.0,True,False,False,False,True,True,True,True,True,-4.956595102945959,noise,48.03143209790484,False,False,Industrial Products,Glass - Industrial,58.385999027710255,False,False
BEPL.NS,99.44000244140625,96.1233336130778,95.96972232394748,95.82340011596679,89.37116668701172,92.00335319519043,96.60525740556525,74.19999694824219,118.89934992197007,True,False,False,True,True,True,True,True,True,-13.968754086200352,ppv,137.06374717510786,False,False,Chemicals & Petrochemicals,Specialty Chemicals,45.55177442877978,False,False
MANAKSTEEL.NS,68.48999786376953,67.0716667175293,66.9472222858005,66.01060012817383,62.4196666208903,61.679050006866454,67.13544519586667,45.11000061035156,87.12999725341797,True,True,True,True,True,True,True,True,True,14.054952096485863,dry,14.446559559815645,False,False,Ferrous Metals,Iron & Steel,76.42197374817695,True,True
WINDLAS.NS,819.2000122070312,817.8166656494141,816.8416646321615,821.0259973144531,798.6599991861979,837.5709991455078,817.4517215682341,697.4000244140625,1097.9000244140625,False,False,False,False,False,False,False,True,True,-8.448250729708162,noise,51.75619583771612,False,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,53.67039377734565,False,False
SHIVAUM.NS,365.0,338.70416768391925,337.43472459581164,337.76000122070315,311.92833333333334,308.9529998779297,347.4900689620191,273.0,375.3999938964844,True,True,True,True,True,True,True,True,True,33.699633699633694,noise,21.36752136752137,False,False,Commercial Services & Supplies,Trading & Distributors,86.04764219737481,True,True
AZAD.NS,2122.0,2125.4416707356772,2121.7333407931856,2035.56400390625,1739.5493375651042,1712.019503173828,2134.5699111147765,1360.0,2350.0,True,True,True,True,True,True,True,False,True,28.031855239665916,red,126.90100591758753,False,False,Electrical Equipment,Heavy Electrical Equipment,84.15167719980555,True,True
PRIMO.NS,24.520000457763672,23.74916664759318,23.71499999364217,23.56120002746582,22.1421333694458,22.792250003814697,24.052491689456154,16.100000381469727,31.389999389648438,True,False,False,True,True,True,True,True,True,-4.517133308516019,noise,76.16159411723696,False,True,Chemicals & Petrochemicals,Commodity Chemicals,59.06660184735051,False,False
TRANSWORLD.NS,175.08999633789062,163.86749903361002,163.40361065334744,161.12719970703125,170.7731999206543,191.38899990081788,164.68890535794034,111.55999755859375,300.05677078502487,False,False,False,False,True,True,False,True,True,-39.81235226756309,ppv,333.2273162137993,True,False,Transport Services,Shipping,11.375789985415654,False,False
LIKHITHA.NS,232.08999633789062,214.22666803995767,211.2922223409017,215.31559997558594,188.02660024007162,200.8617502593994,221.53321145830347,131.4499969482422,323.70001220703125,True,False,False,True,True,True,False,True,True,-25.68363579580134,noise,39.06969673425721,False,False,Construction,Civil Construction,28.536703937773456,False,False
OBCL.NS,59.439998626708984,54.809166272481285,54.736944410536026,55.1076000213623,55.36339998881022,55.53539991378784,56.56442823965356,49.0,64.83999633789062,True,False,False,False,True,False,True,True,True,8.072724775834516,red,164.5497991450358,False,False,Transport Services,Logistics Solution Provider,71.80359747204666,True,False
NECCLTD.NS,17.110000610351562,15.830000082651773,15.767777813805473,15.713600044250489,16.34713338216146,17.483100051879884,16.227348786637556,10.550000190734863,27.25,False,False,False,False,True,True,False,True,True,-29.385055990090294,green,312.75491347477487,False,False,Transport Services,Logistics Solution Provider,23.91832766164317,False,False
IRISDOREME.NS,38.02000045776367,36.2583335240682,36.171666887071396,35.435800056457516,33.92833325703939,33.546499977111814,36.49160508587724,26.350000381469727,66.52999877929688,True,True,True,True,True,True,False,True,True,-37.44652645384028,ppv,174.6233538173378,False,False,Textiles & Apparels,Garments & Apparels,14.146815751093825,False,False
VIPULLTD.NS,9.390000343322754,9.400000095367432,9.320555554495918,9.63620002746582,10.353866659800211,10.1073499917984,9.4776453027295,7.380000114440918,13.6899995803833,False,True,False,False,False,False,False,False,True,-17.049464695515038,noise,46.203511111499516,False,False,Realty,"Residential, Commercial Projects",40.64171122994652,False,False
JINDALPHOT.NS,1103.0,1063.9166666666667,1060.2749922010635,1078.5949963378907,1271.054334309896,1252.683999633789,1083.424628695033,796.0,1616.5999755859375,False,True,True,False,True,True,False,True,True,29.566547141575118,noise,63.95203597302023,False,True,Finance,Investment Company,84.88089450656295,True,False
