symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
REDINGTON.NS,271.95001220703125,241.8924992879232,228.30638885498047,226.60319946289061,249.67993225097655,254.0819990539551,245.0682713152373,191.30999755859375,327.511218461602,True,False,False,False,True,True,True,True,False,-6.396551173585829,ppv,799.7505399833485,True,False,Commercial Services & Supplies,Trading & Distributors,53.035454103933944,False,False
NIACL.NS,178.6699981689453,155.5833307902018,160.0022218492296,160.74539947509766,154.3835994974772,163.405809135437,160.86943806807187,116.97000122070312,212.8074444754022,True,False,False,False,True,True,True,True,False,-3.5404530946950286,ppv,1588.6739806213302,False,False,Insurance,General Insurance,56.9208353569694,False,False
MFSL.NS,1688.199951171875,1601.7666625976562,1630.5472208658855,1633.1620043945313,1668.172666829427,1645.4164990234376,1623.5333039385368,1433.5999755859375,1892.5,True,True,False,False,True,False,True,True,False,7.051360251862704,ppv,164.94814684084102,False,False,Insurance,Life Insurance,68.33414278776105,False,False
GODREJIND.NS,1111.199951171875,1050.1083221435547,1083.7958323160808,1042.9349987792968,1000.0543306477865,1036.4227474975587,1064.7201360507322,744.2000122070312,1380.5999755859375,True,False,False,True,True,True,True,True,False,-14.732965561220901,ppv,123.56312909162777,False,False,Diversified,Diversified,40.9422049538611,False,False
YESBANK.NS,25.479999542236328,23.455833435058594,22.48138893975152,21.707400093078615,21.357866706848146,21.46465003013611,23.861678225833316,17.200000762939453,25.780000686645508,True,False,True,True,True,True,True,True,False,25.889327225168635,ppv,177.46539064977657,False,False,Banks,Private Sector Bank,82.07867897037396,True,False
SHYAMMETL.NS,975.0999755859375,976.6708221435547,935.9944407145182,911.367998046875,852.8960005696615,867.9609988403321,970.3437107997499,746.0,1014.0,True,False,False,True,True,True,True,True,False,16.73700390544852,ppv,248.26653879550372,False,False,Industrial Products,Iron & Steel Products,77.07625060709083,True,False
TRENT.NS,3179.699951171875,2851.6048787434897,2804.395514594184,2793.63767578125,3029.7224837239582,3495.2581982421875,2919.6256482178173,2180.44477277369,6251.7619882765375,False,False,False,False,True,True,False,True,False,-43.93170733051311,ppv,237.0363776031201,False,False,Retailing,Speciality Retail,7.1879553181155895,False,False
STARHEALTH.NS,565.6500244140625,528.0125071207682,522.3861185709635,516.2870056152344,481.4296685791016,477.7370018005371,532.6970099456748,412.6000061035156,586.25,True,True,True,True,True,True,True,True,False,25.644160168067653,ppv,937.4052367992487,False,False,Insurance,General Insurance,81.93297717338514,True,True
JINDALSAW.NS,264.05999755859375,245.10500208536783,235.807376437717,233.40176147460937,193.81862111409507,194.09420372009276,247.26190954349426,151.60325107352764,267.5,True,False,True,True,True,True,True,True,False,11.442660862993304,ppv,111.21844876387081,False,False,Industrial Products,Iron & Steel Products,72.46236036911122,True,False
RPTECH.NS,730.0,581.9833374023438,541.8069449530708,517.225,407.41300008138023,385.39099990844727,614.5565282512605,274.03069500955513,745.0,True,True,True,True,True,True,True,True,False,140.7879918456389,ppv,902.2232263070056,True,False,IT - Hardware,Computers Hardware & Equipments,97.7659057795046,True,True
