symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
SWANDEF.NS,2215.60009765625,2055.7000122070312,1984.5027906629775,1949.08400390625,1744.6736653645833,1478.0697506713868,2094.1511149839134,188.05999755859375,2489.0,True,True,True,True,True,True,True,True,False,1078.134705104384,green,109.03282217550935,False,False,False,False,Industrial Manufacturing,Ship Building & Allied Services,100.0,True,True,11742.85,5.47,24538,0.0466
CUPID.NS,182.61000061035156,169.30166498819986,141.40611033969455,134.22279937744142,100.09399991353352,86.80303991317749,171.75957476852992,18.17799949645996,183.0,True,True,True,True,True,True,True,True,False,886.3346722067758,green,103.11023205116119,False,False,True,False,Personal Products,Personal Care,99.95147986414362,True,True,24607.29,341.41,18656111,1.3874
SIGMAADV.NS,615.0499877929688,517.720827738444,418.92361026340063,370.89100006103513,242.6263340250651,224.5708504486084,540.6819698433055,81.61000061035156,638.0999755859375,True,True,True,True,True,True,True,True,False,619.9461378858334,ppv,159.97049918851192,False,False,True,False,Aerospace & Defense,Aerospace & Defense,99.90295972828724,True,True,11014.98,25.58,409336,0.2323
STLTECH.NS,613.3499755859375,609.5666656494141,525.8999972873264,460.14679748535156,244.7031989542643,213.12529911041258,609.414075473726,84.5999984741211,679.9000244140625,True,True,True,True,True,True,True,True,False,506.5565258369906,dry,14.620847123997699,False,False,False,False,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,99.85443959243085,True,True,29941.76,303.13,4942242,1.0124
VMARCIND.NS,1580.5,1540.5208435058594,1331.0388929578994,1221.4050048828126,854.2940006510416,773.4370016479493,1564.2682641145707,271.3500061035156,1708.0,True,True,True,True,True,True,True,True,False,453.3963467168654,noise,30.50352294208627,False,False,False,False,Industrial Products,Cables - Electricals,99.80591945657447,True,True,441.28,0.96,53226,0.218
MTARTECH.NS,7976.5,7731.958333333333,7464.638888888889,6944.200009765625,4364.454664713542,3791.73299621582,7903.690930767419,1390.5,8714.0,True,True,True,True,True,True,True,True,False,374.42453865148354,dry,8.827077592680697,False,True,False,False,Aerospace & Defense,Aerospace & Defense,99.7573993207181,True,True,24546.15,1237.14,1550304,5.0401
BHAGYANGR.NS,392.1499938964844,357.4416681925456,321.0027787950304,300.5798004150391,203.64340021769206,180.1329001235962,369.2439813416966,76.83999633789062,415.20001220703125,True,True,True,True,True,True,True,True,False,373.61108628384187,noise,42.60216658323968,False,False,False,False,Non - Ferrous Metals,Copper,99.70887918486171,True,True,1254.68,12.11,308822,0.9652
PRIZOR.NS,906.5,871.4666595458984,747.6819441053602,708.3959991455079,449.5329995727539,417.8029996490479,873.4274156928079,183.5,939.2000122070312,True,True,True,True,True,True,True,True,False,363.09067688378036,noise,20.066100094428705,False,True,False,False,Industrial Manufacturing,Industrial Products,99.66035904900534,True,True,194.79,0.58,31695,0.2965
VENUSREM.NS,1947.0,1784.25,1386.8902842203777,1273.3910046386718,943.4030017089843,822.1062507629395,1780.2990916354386,416.0,1947.0999755859375,True,True,True,True,True,True,True,True,False,357.25694124412814,noise,80.89519038898561,False,False,True,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.61183891314896,True,True,2605.74,16.96,87115,0.651
UCL.NS,185.89999389648438,162.1874974568685,153.90833240085178,143.52899932861328,88.19999979654948,76.95800003051758,167.30186959441113,38.0,186.3000030517578,True,True,True,True,True,True,True,True,False,276.6970610829288,noise,39.308176100628934,False,False,True,False,Chemicals & Petrochemicals,Dyes And Pigments,99.41775836972343,True,True,67.03,0.18,29428,0.2619
