symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
MOTHERSON.NS,151.7100067138672,145.26166788736978,139.26666726006403,135.15740020751954,123.87017339070638,119.23575824737549,145.83413892813067,89.42248454216111,155.25,True,True,True,True,True,True,True,True,False,54.185237836849545,ppv,326.8198160336026,True,False,True,False,Auto Components,Auto Components & Equipments,90.68413391557496,True,True,159916.75,356.0,23444221,0.2226
AXISBANK.NS,1377.199951171875,1356.2333374023438,1298.9333394368489,1304.8680004882813,1294.25466796875,1265.9185021972655,1357.1536943882704,1042.5,1418.300048828125,True,True,True,True,True,True,True,True,False,13.530763637300414,red,117.75930324626245,False,False,False,False,Banks,Private Sector Bank,72.0524017467249,True,True,428398.59,980.45,7119191,0.2289
CHENNPETRO.NS,1102.199951171875,1141.6083272298176,1095.0777774386936,1088.0459997558594,968.9806746419271,931.5122708129883,1128.6384003311812,615.9702998720279,1249.0,True,True,True,True,True,True,True,False,False,59.340580219100715,noise,24.881982855788408,False,False,False,False,Petroleum Products,Refineries & Marketing,91.89713731198448,True,True,16454.71,195.49,1769159,1.1881
ADANIPOWER.NS,229.27000427246094,225.76750055948892,227.4397235446506,224.4726010131836,172.9344004313151,167.08855026245118,228.70610538276762,105.6500015258789,254.1999969482422,True,True,True,True,True,True,True,True,False,113.0762151707676,noise,43.195470394785964,False,True,False,False,Power,Integrated Power Utilities,96.40950994662785,True,True,441812.36,1039.0,45351560,0.2352
ABCAPITAL.NS,390.79998779296875,371.6375020345052,360.4124993218316,356.7759997558594,346.45033284505206,336.1094998168945,378.84481046635375,243.0,399.3500061035156,True,True,True,True,True,True,True,True,False,47.6834687491783,noise,91.7965728975598,False,False,False,False,Finance,Investment Company,88.88888888888889,True,True,107153.54,171.15,4367270,0.1597
BHEL.NS,402.70001220703125,393.6000010172526,401.209721883138,386.355400390625,308.6122671508789,292.58265022277834,399.98439047175816,205.1199951171875,424.8999938964844,True,True,True,True,True,True,True,True,False,59.00165795495753,noise,51.61574775591576,False,False,False,False,Electrical Equipment,Heavy Electrical Equipment,91.80009704027171,True,True,139996.36,672.43,16725154,0.4803
IDEA.NS,14.0600004196167,14.584166685740152,13.875555568271214,12.795600032806396,11.260466715494792,10.659650032520295,14.503091642971555,6.119999885559082,15.34000015258789,True,True,True,True,True,True,True,False,False,114.65648870522043,noise,64.07114411436079,False,False,False,False,Telecom - Services,Telecom - Cellular & Fixed line services,96.555070354197,True,True,152221.96,741.58,527812322,0.4872
ADANIPORTS.NS,1796.0,1813.2797342936199,1790.3812221950955,1746.7496337890625,1554.1830501302084,1521.8221655273437,1810.5151255119947,1285.0840970824604,1850.0032575335592,True,True,True,True,True,True,True,False,False,33.12438065194685,noise,67.08934682200027,False,False,False,False,Transport Infrastructure,Port & Port services,84.03687530325085,True,True,413560.66,527.1,2936506,0.1275
POLYCAB.NS,9531.0,9700.570882161459,9435.429985894098,9065.867646484376,7997.335270182291,7869.862302246093,9730.86460282734,5913.6909303514285,10126.0,True,True,True,True,True,True,True,False,False,53.109322453082754,red,108.1881976772243,False,False,False,False,Industrial Products,Cables - Electricals,90.29597282872392,True,True,143877.66,369.33,386529,0.2567
AUROPHARMA.NS,1555.199951171875,1472.6083272298176,1472.7027757432725,1454.727998046875,1298.988663736979,1252.123998413086,1494.917596676955,1016.0999755859375,1565.0,True,True,True,True,True,True,True,True,False,42.27469354462621,green,158.64264076641885,False,False,True,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,87.19068413391557,True,True,89448.25,218.78,1407299,0.2446
FEDERALBNK.NS,324.04998779296875,319.4916712443034,300.8583348592122,298.3530017089844,280.5368683878581,263.76405128479,319.90079567744954,183.99616636888095,327.0,True,True,True,True,True,True,True,True,False,57.53160766366696,noise,49.55183001030079,False,True,False,False,Banks,Private Sector Bank,91.46045608927706,True,True,79769.93,380.82,11775439,0.4774
MAHABANK.NS,88.70999908447266,88.02500089009602,81.97199800279405,80.71759674072266,68.61203503926595,65.31230070114135,87.81383585843662,50.17055988911408,91.19999694824219,True,True,True,True,True,True,True,True,False,71.09279418160159,noise,56.69091065746316,False,False,False,False,Banks,Public Sector Bank,93.44978165938865,True,True,68293.32,175.03,19712360,0.2563
ADANIENSOL.NS,1507.800048828125,1502.7833353678386,1452.3222215440537,1427.972001953125,1136.985332438151,1082.2340005493163,1506.680883529692,744.9000244140625,1614.800048828125,True,True,True,True,True,True,True,True,False,80.10033765446971,noise,36.108886205822294,False,False,False,False,Power,Power Distribution,94.51722464822902,True,True,180913.17,489.02,3247151,0.2703
APARINDS.NS,16022.0,15809.916666666666,13897.277777777777,13386.01,10583.776666666667,10090.86,15887.589816798867,6801.0,17157.0,True,True,True,True,True,True,True,True,False,105.34954265011916,red,116.9831709786418,False,False,False,False,Electrical Equipment,Other Electrical Equipment,95.87578845220767,True,True,64523.84,221.25,137755,0.3429
BANDHANBNK.NS,201.75999450683594,207.5816650390625,203.03805541992188,198.8165997314453,170.38760009765625,168.38925010681152,207.66623892565048,134.25,218.1300048828125,True,True,True,True,True,True,True,False,False,12.981022240591166,red,248.3656413991057,False,False,False,False,Banks,Private Sector Bank,71.5186802523047,True,True,32567.94,242.73,12007232,0.7453
AUBANK.NS,1033.8499755859375,1020.5333251953125,999.7930569118923,1006.9050012207031,977.6886665852865,932.3347509765625,1028.163349376522,682.1500244140625,1079.550048828125,True,True,True,True,True,True,True,True,False,29.951038006536447,red,117.32692030632268,False,False,False,False,Banks,Other Bank,82.72683163512859,True,True,77739.51,208.77,2009745,0.2686
STARHEALTH.NS,577.0999755859375,550.9041697184244,530.3805609809028,526.6180047607422,483.6993349202474,481.0627516174316,561.9289923435545,412.6000061035156,597.4000244140625,True,True,True,True,True,True,True,True,False,33.83579759938773,ppv,86.2801377307176,False,False,False,False,Insurance,General Insurance,84.37651625424552,True,True,33830.26,42.55,740112,0.1258
JINDALSAW.NS,260.7200012207031,249.75916798909506,240.03163867526584,238.40178588867187,196.84569549560547,195.51969314575194,254.5528309328696,151.60325107352764,269.9100036621094,True,True,True,True,True,True,True,True,False,11.96683853457483,noise,74.38853847979736,False,False,False,False,Industrial Products,Iron & Steel Products,70.54827753517709,True,True,16578.15,73.64,2832354,0.4442
BHARATFORG.NS,2145.300048828125,2040.8333536783855,1965.125006781684,1941.0680053710937,1702.2327726236979,1591.6569317626954,2070.354085982767,1099.2431646909151,2167.5,True,True,True,True,True,True,True,True,False,68.79618969281131,green,104.71738637789059,False,True,False,False,Auto Components,Auto Components & Equipments,93.15866084425036,True,True,102550.01,270.86,1262740,0.2641
RAIN.NS,185.49000549316406,193.71416600545248,178.8852776421441,165.21699966430663,141.85026641845704,139.29814971923827,190.97588713226273,99.9000015258789,214.1699981689453,True,True,True,True,True,True,True,False,False,30.617599133533503,noise,50.15812500485861,False,True,False,False,Chemicals & Petrochemicals,Petrochemicals,83.11499272197962,True,True,6247.96,123.37,6641504,1.9746
RPTECH.NS,780.9000244140625,670.6375071207682,580.5041690402561,550.7640008544922,421.54500040690107,397.20600021362304,707.0545664123965,274.03069500955513,806.2000122070312,True,True,True,True,True,True,True,True,False,168.47992821658244,ppv,134.55955818512993,False,True,True,False,IT - Hardware,Computers Hardware & Equipments,98.3017952450267,True,True,5133.58,86.96,1116278,1.6939
SIS.NS,435.3999938964844,427.98333231608075,408.3124991522895,392.4570007324219,339.7188195800781,338.372307434082,429.5836864354538,257.04998779296875,480.95001220703125,True,True,True,True,True,True,True,True,False,20.839823649179333,red,162.87102175822147,False,True,False,False,Other Consumer Services,Other Consumer Services,77.53517709849588,True,True,6174.84,13.26,303522,0.2148
WELCORP.NS,1455.0999755859375,1401.0500183105469,1362.5472276475693,1317.482001953125,983.5480013020833,957.6577505493165,1409.948156649978,710.0,1459.5,True,True,True,True,True,True,True,True,False,65.11842532579406,ppv,198.47818162225326,False,False,True,False,Industrial Products,Iron & Steel Products,92.67345948568656,True,True,38474.4,130.98,897770,0.3404
GMRAIRPORT.NS,108.44000244140625,106.63333447774251,100.86638916863336,99.78080017089843,98.7589330037435,96.91479957580566,107.08179178885523,80.37999725341797,111.1500015258789,True,True,True,True,True,True,True,True,False,33.23504515862936,green,116.43644986053579,False,False,False,False,Transport Infrastructure,Airport & Airport services,84.08539543910723,True,True,114596.57,206.52,19029117,0.1802
RBLBANK.NS,371.04998779296875,369.9500020345052,350.1263910929362,343.12700134277344,319.512333984375,313.5760008239746,370.344957496544,223.2182923387123,381.70001220703125,True,True,True,True,True,True,True,True,False,59.15178325997002,noise,92.15495353718353,False,False,False,False,Banks,Private Sector Bank,91.84861717612809,True,True,57861.87,211.43,5658476,0.3654
