symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
20MICRONS.NS,197.4199981689453,190.77000045776367,185.08111063639322,183.50899993896485,180.93079976399738,189.40420013427735,194.7105201298458,129.61000061035156,282.653466788636,True,False,False,False,True,True,False,True,False,-11.03513310331583,noise,29.602773629260493,False,False,False,False,,Minerals & Mining,Industrial Minerals,49.50980392156863,False,False
21STCENMGM.NS,32.599998474121094,32.7041662534078,32.93527788586087,33.55800006866455,37.3180667368571,40.29520008087158,32.92369925735144,28.25,67.4000015258789,False,False,False,False,False,False,False,False,False,-50.88142666108304,noise,67.65979346841051,False,False,False,False,,Capital Markets,Other Capital Market related Services,5.841503267973856,False,False
360ONE.NS,1089.800048828125,1114.9833475748699,1101.7916802300347,1090.5598071289062,1097.5025272623698,1092.6212353515625,1106.9208378279986,900.8207868154223,1260.039709909668,False,True,False,False,False,False,True,False,False,-4.816511756293207,noise,69.80231326796937,False,False,False,False,,Capital Markets,Stockbroking & Allied,57.31209150326797,False,False
3BBLACKBIO.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,True,False,False,,Healthcare Services,Healthcare Service Provider,,False,False
3IINFOLTD.NS,17.239999771118164,17.37333345413208,17.35277779897054,17.415799980163573,16.04679998397827,17.150868830680846,17.30440628197136,12.680000305175781,26.450000762939453,True,False,False,True,False,True,False,False,True,-29.861676872947683,noise,46.97876649941826,False,False,False,False,,IT - Software,Computers - Software & Consulting,25.122549019607842,False,False
3MINDIA.NS,32710.0,32723.333333333332,32329.583333333332,32414.1,33717.9,33012.775,32962.0285835274,27797.502936732908,38030.0,False,True,True,False,True,False,True,False,False,16.784420227323338,red,223.27730014115232,False,False,False,False,,Diversified,Diversified,77.65522875816994,True,False
3PLAND.NS,31.790000915527344,32.026666482289635,32.205555544959175,33.07740016937256,34.5950000890096,36.730500059127806,32.061562004773116,28.510000228881836,52.9900016784668,False,False,False,False,False,False,False,False,False,-37.51965360030416,noise,72.6943613310631,False,False,False,False,,Finance,Investment Company,16.380718954248366,False,False
5PAISA.NS,351.04998779296875,329.8249994913737,321.93194580078125,325.2140008544922,324.8304671223958,327.14960037231447,337.3287489243215,245.5,432.5,True,False,False,False,True,True,True,True,False,-10.606066493347754,noise,91.93758454516372,False,False,False,False,,Capital Markets,Stockbroking & Allied,50.20424836601307,False,False
63MOONS.NS,656.6500244140625,666.7666676839193,657.0833384195963,676.6150061035156,663.8086694335938,706.5451425170899,665.8978336958534,467.0,1128.5427677582634,False,False,False,False,False,True,False,False,False,-31.716905174466127,noise,47.422206687120244,False,True,False,False,,IT - Software,Computers - Software & Consulting,22.834967320261438,False,False
ABB.NS,7128.0,7048.25,6880.291666666667,6994.652744140625,6061.71484375,5837.802922363281,7077.183616965965,4618.610322519749,7790.636939142663,True,True,True,True,True,True,True,True,False,19.444336485401024,ppv,214.1812130431441,False,False,False,False,,Electrical Equipment,Heavy Electrical Equipment,79.24836601307189,True,True
ABINFRA.NS,11.699999809265137,10.579166571299234,11.67722225189209,12.77579999923706,16.526066659291587,17.261226992607117,10.895309812552139,8.819999694824219,23.559999465942383,False,False,False,False,False,True,False,True,False,-23.614311747106854,red,404.635145482411,False,True,False,False,,Construction,Civil Construction,33.41503267973856,False,False
ABLBL.NS,96.37999725341797,98.37999979654948,100.75444475809734,102.2472003173828,109.04060002644857,116.37985008239747,98.24127608988422,87.91000366210938,168.0,False,False,False,False,False,False,False,False,False,,noise,83.65632083348845,False,False,False,False,,Retailing,Speciality Retail,,False,False
ABMINTLLTD.NS,41.939998626708984,41.37833340962728,43.241666899787056,43.68720008850098,43.41533342997233,44.38430009841919,41.49118377835752,34.0,78.20999908447266,False,False,False,False,False,False,False,True,False,-13.293364579624212,noise,32.52652594270845,False,False,False,False,,Commercial Services & Supplies,Trading & Distributors,46.69117647058824,False,False
ABREL.NS,1315.0,1284.5083312988281,1276.4944458007812,1333.1639990234376,1405.7580021158853,1491.340498046875,1299.0851112178634,1080.0999755859375,2458.294903942726,False,False,False,False,False,False,False,True,True,-45.5291331822119,noise,58.04291954026589,False,False,False,False,,Realty,"Residential, Commercial Projects",9.027777777777777,False,False
AMIRCHAND.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,97.34014256404903,False,False,False,False,,Agricultural Food & other Products,Other Agricultural Products,,False,False
AGUL.NS,63.900001525878906,63.900001525878906,62.95000076293945,61.89600021362305,67.29466684977214,67.10550010681152,63.861743577912975,47.900001525878906,86.0,False,True,False,False,True,True,False,True,False,32.84824023489019,dry,0.0,False,False,False,False,,Industrial Products,Iron & Steel Products,85.74346405228758,True,False
AKCAPIT.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,False,False,False,,Finance,Non Banking Financial Company (NBFC),,False,False
A2ZINFRA.NS,13.75,14.137499968210856,14.638333294126722,15.28699987411499,15.435733299255372,16.009899978637694,14.080996318200258,13.119999885559082,23.25,False,False,False,False,False,False,False,False,False,-29.378528582849718,red,129.35246662546803,False,False,False,False,,Construction,Civil Construction,25.694444444444443,False,False
AAATECH.NS,94.19000244140625,96.1991678873698,94.90416675143771,96.39179992675781,97.7503997294108,95.34749973297119,95.23773433908298,75.58407430912304,136.0,False,True,True,False,False,False,False,False,False,13.820463316725707,noise,65.17342531458476,False,False,False,False,,Commercial Services & Supplies,Consulting Services,75.98039215686273,True,False
