symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
ABB.NS,7128.0,7048.25,6880.291666666667,6994.652744140625,6061.71484375,5837.802922363281,7077.183616965965,4618.610322519749,7790.636939142663,True,True,True,True,True,True,True,True,False,19.444336485401024,ppv,214.1812130431441,False,False,False,False,,Electrical Equipment,Heavy Electrical Equipment,79.24836601307189,True,True,151048.29,297.3,417089.0,0.1968
AARVI.NS,140.32000732421875,143.28249994913736,133.72305615743002,132.51240005493165,129.22953323364257,127.58799991607665,142.28435375917812,96.98999786376953,154.6999969482422,True,True,True,True,True,True,True,False,False,30.300575802820752,noise,44.09246976382526,False,False,False,False,,Commercial Services & Supplies,Diversified Commercial Services,85.00816993464052,True,True,207.82,0.41,29559.0,0.1996
ACCENTMIC.NS,459.6499938964844,453.3624954223633,452.68055555555554,446.3630010986328,377.6856681315104,350.4980110168457,456.74535882928967,214.26999647098503,487.3999938964844,True,True,True,True,True,True,True,True,False,109.78882891807177,noise,58.149334232260244,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,96.89542483660131,True,True,638.24,1.57,54642.0,0.2456
ACCORD.NS,133.25,102.22083218892415,70.22222222222223,62.71900016784668,38.95933338165283,34.59500003814697,108.9131321367488,19.850000381469727,133.25,True,True,True,True,True,True,True,True,False,501.58014580065975,ppv,96.61835748792271,False,False,True,False,,Telecom - Services,Other Telecom Services,99.79575163398692,True,True,10.0,0.02,7142.0,0.2057
ACUTAAS.NS,3568.199951171875,3201.050008138021,3055.6166788736978,2907.796005859375,2274.2533333333336,2098.418792114258,3275.366957473708,1057.9228658449745,3603.60009765625,True,True,True,True,True,True,True,True,False,226.7319034447992,ppv,442.8242378486389,True,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.18300653594771,True,True,29213.25,173.69,486775.0,0.5946
ADANIENSOL.NS,1486.4000244140625,1498.6833394368489,1455.0805562337239,1432.5040014648437,1140.1863326009116,1085.8862506103515,1502.9934545995775,744.9000244140625,1614.800048828125,True,True,True,True,True,True,True,False,False,74.49082197738579,red,221.67477042297764,False,False,False,False,,Power,Power Distribution,94.68954248366013,True,True,178558.65,482.66,3247151.0,0.2703
ADANIGREEN.NS,1502.5,1499.6166687011719,1448.4027811686199,1392.2590014648438,1102.9430000813802,1089.1672500610352,1506.7647198478028,765.0,1557.0,True,True,True,True,True,True,True,False,False,52.18272243259319,red,129.28817032448748,False,False,False,False,,Power,Power Generation,91.17647058823529,True,True,247488.22,676.68,4503683.0,0.2734
ADANIPORTS.NS,1776.0999755859375,1810.1583353678386,1791.7860005696614,1750.9356958007813,1556.170576171875,1524.1214013671874,1804.2578255254386,1285.0840970824604,1850.0032575335592,True,True,True,True,True,True,True,False,False,28.361661340838328,noise,63.39124888264016,False,False,False,False,,Transport Infrastructure,Port & Port services,84.15032679738562,True,True,409206.17,521.55,2936506.0,0.1275
ADANIPOWER.NS,227.0500030517578,226.30666732788086,227.3525013393826,225.04360107421874,173.4373337809245,167.61410026550294,228.40499586803855,107.73999786376953,254.1999969482422,True,True,True,True,True,True,True,False,False,107.5980592026212,red,169.08917524422932,False,False,False,False,,Power,Integrated Power Utilities,96.77287581699346,True,True,437859.0,1029.71,45351560.0,0.2352
ADFFOODS.NS,305.04998779296875,298.7124989827474,282.1374986436632,274.4589990234375,223.87533274332682,222.51355575561524,301.0016549849556,153.10000610351562,320.0,True,True,True,True,True,True,True,True,False,8.38631453190224,noise,40.599027214997626,False,True,False,False,,Food Products,Packaged Foods,71.52777777777779,True,True,3351.39,11.69,383310.0,0.3489
ABSLAMC.NS,1170.800048828125,1147.3916524251301,1074.5611131456162,1067.3940002441407,919.2250028483073,891.2942520141602,1153.258377172626,708.0,1224.9000244140625,True,True,True,True,True,True,True,True,False,56.902601461548194,ppv,309.5010561217466,False,False,False,False,,Capital Markets,Asset Management Company,92.44281045751634,True,True,33859.95,51.28,437978.0,0.1514
ABCAPITAL.NS,385.29998779296875,375.1875,360.86527676052515,357.67399963378904,346.8146661376953,336.6304997253418,380.0184790711928,243.0,399.3500061035156,True,True,True,True,True,True,True,True,False,42.07750445233221,red,260.4864609354209,False,False,False,False,,Finance,Investment Company,88.76633986928104,True,True,105348.97,168.27,4367270.0,0.1597
ADOR.NS,1251.199951171875,1198.1666666666667,1130.513895670573,1109.4230053710937,1049.510332845052,1049.0044995117187,1211.7630506108003,848.0,1265.0,True,True,True,True,True,True,True,True,False,26.42990742278597,noise,69.29482523041203,False,False,True,False,,Industrial Products,Other Industrial Products,83.16993464052288,True,True,2177.44,4.71,37665.0,0.2164
AEROFLEX.NS,469.0,478.4333318074544,426.10694461398657,393.7814001464844,269.06493377685547,246.72835021972656,475.7769088235028,158.0,521.9000244140625,True,True,True,True,True,True,True,False,False,135.91545312110108,noise,42.33401512268303,False,False,False,False,,Industrial Products,Iron & Steel Products,97.75326797385621,True,True,6206.31,140.67,2999265.0,2.2665
AETHER.NS,1342.199951171875,1215.8833312988281,1151.2833285861545,1161.0180004882814,1039.2453377278646,968.5277542114258,1252.3382273148945,726.4500122070312,1392.5,True,True,True,True,True,True,True,True,False,73.5229413279735,green,144.60436693233635,False,False,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,94.48529411764706,True,True,17812.68,49.42,368225.0,0.2775
AIAENG.NS,4951.39990234375,4642.266682942708,4345.861131456163,4244.662021484375,3961.866012369792,3782.431506347656,4743.106538623463,2985.486170743132,5060.0,True,True,True,True,True,True,True,True,False,52.22949265552796,green,168.68545774949578,False,False,True,False,,Industrial Products,Castings & Forgings,91.25816993464052,True,True,46206.65,41.39,83599.0,0.0896
AIMTRON.NS,1273.6500244140625,1251.1750183105469,1188.8180609809028,1147.7610009765624,938.0270003255208,892.218249206543,1250.142663881488,551.5999755859375,1343.0,True,True,True,True,True,True,True,True,False,118.70869370820634,noise,48.37570621468927,False,False,False,False,,Industrial Manufacturing,Industrial Products,97.18137254901961,True,True,1113.17,2.95,54190.0,0.2655
AJANTPHARM.NS,3384.199951171875,3152.0082804361978,3094.138861762153,3025.4519775390627,2867.653994140625,2767.7496740722654,3184.8866163296134,2304.0552404050886,3479.0,True,True,True,True,True,True,True,True,False,33.422774773990874,ppv,657.3129707599804,True,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,86.11111111111111,True,True,42280.71,39.11,115561.0,0.0925
AKUMS.NS,624.6500244140625,610.8958333333334,560.4347212049696,554.7829992675781,489.2756669108073,481.4532502746582,607.6347577889534,409.29998779296875,639.0,True,True,True,True,True,True,True,True,False,15.100425716550125,noise,77.33642833357074,False,False,True,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,76.51143790849673,True,True,9563.52,17.49,280002.0,0.1829
ALIVUS.NS,1119.5,1073.6666717529297,1063.8805626763237,1062.7130065917968,970.604335530599,961.0067510986328,1088.656480134876,819.0,1148.4000244140625,True,True,True,True,True,True,True,True,False,12.748550694036043,noise,68.17575663161396,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,74.75490196078431,True,True,13740.68,11.29,100809.0,0.0821
ANANDRATHI.NS,1988.699951171875,1848.5166727701824,1798.0105862087673,1798.5499145507813,1617.9087524414062,1590.618911743164,1884.4039192489606,1006.0733574275512,1999.0,True,True,True,True,True,True,True,True,False,91.81988833977563,green,373.6906088195105,True,False,True,False,,Capital Markets,Financial Products Distributor,95.83333333333334,True,True,33020.63,133.18,669696.0,0.4033
ANGELONE.NS,328.75,343.37916564941406,332.94444698757593,328.47020141601564,275.9799647013346,266.2808839416504,340.47549681635456,206.75854823075167,360.45001220703125,True,True,True,True,True,True,True,False,False,12.962154750417398,noise,65.33793278865832,False,False,False,False,,Capital Markets,Stockbroking & Allied,74.91830065359477,True,True,30026.36,309.39,9411158.0,1.0304
ANLON.NS,692.7000122070312,700.7124989827474,640.4722205268013,591.1319995117187,453.2676662190755,447.1417497253418,695.4155589898937,335.0,748.0,True,True,True,True,True,True,True,False,False,90.30220115577781,noise,38.61997940267765,False,True,False,False,,Commercial Services & Supplies,Diversified Commercial Services,95.75163398692811,True,True,316.52,0.68,13517.0,0.2161
ANTELOPUS.NS,808.9000244140625,801.9250081380209,787.3208262125651,751.4529931640625,583.4079976399739,574.1687493896484,805.8194625097028,357.0,933.6500244140625,True,True,True,True,True,True,True,True,False,18.66793742278268,noise,61.4268933682245,False,False,False,False,,Oil,Oil Exploration & Production,78.92156862745098,True,True,2844.28,16.95,209553.0,0.596
APARINDS.NS,15986.0,15968.333333333334,13985.75,13476.09,10628.116666666667,10131.915,15905.48257738089,6801.0,17157.0,True,True,True,True,True,True,True,True,False,104.14683484537494,red,227.44910895479939,False,False,False,False,,Electrical Equipment,Other Electrical Equipment,96.56862745098039,True,True,64222.53,220.22,137755.0,0.3429
APCOTEXIND.NS,496.45001220703125,524.8791732788086,505.2890930175781,477.43657653808594,401.7053918457031,395.59993255615234,521.0369848466682,307.1774227167927,579.0,True,True,True,True,True,True,True,False,False,30.943836782819,noise,62.049301406505485,False,False,False,False,,Industrial Products,Rubber,85.2124183006536,True,True,2573.84,6.0,120778.0,0.233
ARVIND.NS,549.5,515.9208272298177,489.4694417317708,463.2569976806641,381.52833251953126,364.9672492980957,526.0158633827566,274.79998779296875,570.0,True,True,True,True,True,True,True,True,False,58.58974157980468,noise,70.74429011948178,False,False,False,False,,Textiles & Apparels,Garments & Apparels,92.64705882352942,True,True,14403.2,50.26,914582.0,0.3489
ASCOM.NS,269.0,240.26666514078775,247.80555640326605,253.95399963378907,195.69700022379558,172.33475025177003,246.67641992415173,84.3499984741211,285.0,True,True,True,True,True,True,True,True,False,218.90931223019555,noise,34.48275862068966,False,False,False,False,,Finance,Non Banking Financial Company (NBFC),99.01960784313727,True,True,157.32,0.02,1722.0,0.0147
ASHIANA.NS,386.6000061035156,378.15833791097003,369.216668870714,361.68300170898436,322.1005841064453,315.15636749267577,380.17388330374143,268.63644581896057,405.0,True,True,True,True,True,True,True,True,False,13.301750786768718,noise,48.78505302007263,False,False,False,False,,Realty,"Residential, Commercial Projects",75.32679738562092,True,True,3886.29,4.62,119603.0,0.119
AHLWEST.NS,586.9500122070312,586.5833282470703,587.7847188313802,516.5015972900391,270.1913953653971,238.68104499816894,597.8575300330884,137.0,751.4000244140625,True,True,True,True,True,True,True,False,False,307.18004652051957,noise,37.17498695300939,False,False,False,False,,Leisure Services,Hotels & Resorts,99.46895424836602,True,True,683.87,0.14,2308.0,0.0198
ASTRAMICRO.NS,1727.300048828125,1598.5333353678386,1373.3666551378037,1301.2939892578124,1066.0946638997395,1065.794514465332,1635.6944249723997,851.0,1755.0,True,True,True,True,True,True,True,True,False,61.16619283187295,green,131.45684569081206,False,False,True,False,,Aerospace & Defense,Aerospace & Defense,93.01470588235294,True,True,16399.85,164.47,952193.0,1.0029
ATHERENERG.NS,1083.75,1004.3708292643229,971.0999976264106,955.7819982910156,789.1356652832031,748.9404986572266,1009.2017410227074,315.75,1098.0,True,True,True,True,True,True,True,True,False,238.61897870186675,ppv,261.0901462856668,False,False,True,False,,Automobiles,2/3 Wheelers,99.22385620915033,True,True,41520.74,501.41,4626623.0,1.2076
