symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
ADFFOODS.NS,305.04998779296875,298.7124989827474,282.1374986436632,274.4589990234375,223.87533274332682,222.51355575561524,301.0016549849556,153.10000610351562,320.0,True,True,True,True,True,True,True,True,False,8.38631453190224,noise,40.599027214997626,False,True,False,False,,Food Products,Packaged Foods,71.52777777777779,True,True,3351.39,11.69,383310.0,0.3489
ANLON.NS,692.7000122070312,700.7124989827474,640.4722205268013,591.1319995117187,453.2676662190755,447.1417497253418,695.4155589898937,335.0,748.0,True,True,True,True,True,True,True,False,False,90.30220115577781,noise,38.61997940267765,False,True,False,False,,Commercial Services & Supplies,Diversified Commercial Services,95.75163398692811,True,True,316.52,0.68,13517.0,0.2161
BANDHANBNK.NS,202.3300018310547,207.79583231608072,202.8908331129286,199.37379974365234,170.71726674397786,168.58420013427735,206.69601399936033,134.25,218.1300048828125,True,True,True,True,True,True,True,False,False,13.293930782520125,green,105.94333537682554,False,True,False,False,,Banks,Private Sector Bank,75.2859477124183,True,True,32596.94,242.94,12007232.0,0.7453
DCBBANK.NS,187.8699951171875,184.02749888102213,179.04033999972873,181.6567626953125,179.90516286214194,170.61569274902342,184.61203737505843,118.51625759687853,204.18790888548025,True,True,True,True,True,True,True,True,False,34.671916636350055,noise,63.79661296041299,False,True,False,False,,Banks,Private Sector Bank,86.84640522875817,True,True,6050.87,25.27,1345103.0,0.4176
DEEDEV.NS,666.9000244140625,685.7250061035156,603.0236163669163,552.7590045166015,345.49513458251954,325.46435089111327,678.5962448274718,183.0,760.0,True,True,True,True,True,True,True,False,False,107.78937499584002,dry,14.52949945635513,False,True,False,False,,Industrial Manufacturing,Industrial Products,96.81372549019608,True,True,4619.17,44.91,673461.0,0.9723
DIACABS.NS,208.5399932861328,205.22333145141602,196.15972179836697,187.02719970703126,152.33893310546875,151.67914978027343,205.1061586269983,107.19999694824219,219.0,True,True,True,True,True,True,True,True,False,89.75431336734465,noise,50.83951407087783,False,True,False,False,,Electrical Equipment,Other Electrical Equipment,95.7107843137255,True,True,10989.45,105.56,5061669.0,0.9605
EQUITASBNK.NS,74.5999984741211,76.51500002543132,72.33083385891385,71.04360031127929,65.65793345133464,63.6780500793457,75.95185661302914,50.0,80.13999938964844,True,True,True,True,True,True,True,False,False,11.626509696511533,noise,32.22429923775961,False,True,False,False,,Banks,Other Bank,73.77450980392157,True,True,8532.16,32.62,4373179.0,0.3824
GLOBAL.NS,104.77999877929688,105.44083340962727,105.03555552164714,104.695,96.00586690266927,88.48428731918335,105.85202696120365,54.930098472460635,121.9000015258789,True,True,True,True,True,True,True,False,True,72.78554158297081,noise,27.69589849623799,False,True,False,False,,Other Consumer Services,Education,94.36274509803921,True,True,533.35,1.23,117749.0,0.2313
GNA.NS,431.25,400.6094284057617,381.34637620713977,395.5502453613281,376.0626570638021,359.8592640686035,411.1572813061081,289.7233688082436,466.65519277373505,True,True,True,True,True,True,True,True,False,34.70026445907899,noise,39.71907877339661,False,True,False,False,,Auto Components,Auto Components & Equipments,86.88725490196079,True,True,1851.39,11.11,257690.0,0.6002
GRINDWELL.NS,2146.800048828125,2076.9249979654946,1943.5027872721355,1851.8380053710937,1654.971336263021,1648.734501953125,2105.463863466233,1329.0,2294.39990234375,True,True,True,True,True,True,True,True,False,32.568178259889955,noise,84.24346510564637,False,True,False,False,,Industrial Products,Abrasives & Bearings,85.49836601307189,True,True,23769.37,19.94,92870.0,0.0839
HSCL.NS,675.5,674.3333282470703,634.7527414957682,617.899741821289,513.8462654622396,500.7606875610352,668.8981818880437,417.9330556788151,718.0,True,True,True,True,True,True,True,True,False,53.71352158857512,red,104.98109176419736,False,True,False,False,,Chemicals & Petrochemicals,Carbon Black,91.66666666666666,True,True,34081.79,752.95,11146600.0,2.2093
IDEAFORGE.NS,810.9500122070312,874.8208312988281,847.3152787950304,782.3250018310547,552.3846667480469,537.4015002441406,859.7319885983059,366.0,992.25,True,True,True,True,True,True,True,False,False,28.01105165067581,dry,7.775793505674615,False,True,False,False,,Aerospace & Defense,Aerospace & Defense,84.02777777777779,True,True,3519.22,116.33,1434466.0,3.3055
KTKBANK.NS,268.6000061035156,272.07083384195965,264.273612552219,262.96380004882815,226.0814663696289,213.51725090026855,269.7723637622696,164.46822856250571,282.95001220703125,True,True,True,True,True,True,True,False,False,34.20000218038211,noise,47.51102728127141,False,True,False,False,,Banks,Private Sector Bank,86.43790849673204,True,True,10157.96,78.0,2903811.0,0.7678
MANINDS.NS,574.4000244140625,575.0666656494141,547.3930519951714,544.581997680664,448.3313326009115,437.3759999084473,575.4154865017781,302.04998779296875,623.7000122070312,True,True,True,True,True,True,True,False,False,47.282057542067314,noise,23.76392415052722,False,True,False,False,,Industrial Products,Iron & Steel Products,89.99183006535948,True,True,4308.55,53.65,934069.0,1.2453
MANAKSTEEL.NS,72.76000213623047,70.26416778564453,67.5541673236423,68.6712003326416,63.02300003051758,62.23220006942749,71.35596037096686,45.11000061035156,87.12999725341797,True,True,True,True,True,True,True,True,False,26.144247141589428,noise,21.478728282886333,False,True,False,False,,Ferrous Metals,Iron & Steel,83.04738562091504,True,True,476.83,0.59,81072.0,0.1237
NGLFINE.NS,3083.39990234375,3020.7166544596353,2709.4388970269097,2603.696005859375,2079.2659993489583,1924.7069982910157,3016.668848695778,998.5646605190893,3232.0,True,True,True,True,True,True,True,True,False,204.24986848250643,noise,38.92650500925033,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,98.89705882352942,True,True,1904.93,5.56,18016.0,0.2916
PRIZOR.NS,906.5,871.4666595458984,747.6819441053602,708.3959991455079,449.5329995727539,417.8029996490479,873.4274156928079,183.5,939.2000122070312,True,True,True,True,True,True,True,True,False,363.09067688378036,noise,20.066100094428705,False,True,False,False,,Industrial Manufacturing,Industrial Products,99.63235294117648,True,True,194.79,0.58,31695.0,0.2965
SAAKSHI.NS,305.0,270.58333079020184,251.41944334242078,241.8369989013672,203.07033274332682,195.26824966430664,279.5920599814456,147.39999389648438,317.5,True,True,True,True,True,True,True,True,False,81.11639611310424,red,139.58125623130607,False,True,False,False,,Electrical Equipment,Other Electrical Equipment,95.34313725490196,True,True,479.45,0.57,20838.0,0.118
MOTHERSON.NS,150.55999755859375,145.95750045776367,139.82583406236438,135.66800018310548,124.1284866841634,119.51702159881592,146.6933859518512,89.42248454216111,155.25,True,True,True,True,True,True,True,True,False,49.58129184049675,red,311.4638996577145,False,True,False,False,,Auto Components,Auto Components & Equipments,90.52287581699346,True,True,158558.21,352.98,23444221.0,0.2226
SIGMAADV.NS,584.2999877929688,528.1374944051107,426.6124988132053,378.7801998901367,245.19566731770834,226.79870040893556,548.6125185614261,81.61000061035156,638.0999755859375,True,True,True,True,True,True,True,True,False,551.393542555097,noise,28.818067602869984,False,True,False,False,,Aerospace & Defense,Aerospace & Defense,99.87745098039215,True,True,10297.69,23.92,409336.0,0.2323
STYLAMIND.NS,3287.699951171875,3240.6916300455728,2957.674994574653,2766.199990234375,2383.4713419596355,2258.233505859375,3237.8771934562355,1593.699951171875,3357.300048828125,True,True,True,True,True,True,True,True,False,105.46840830792203,noise,38.96286545490475,False,True,False,False,,Consumer Durables,Plywood Boards/ Laminates,96.609477124183,True,True,5575.52,17.95,54583.0,0.3219
SWANDEF.NS,2203.800048828125,2072.8583475748696,1993.8500128851997,1954.3300048828125,1752.4586653645833,1486.714250946045,2114.08728477377,197.4600067138672,2489.0,True,True,True,True,True,True,True,True,False,1016.0741283786034,noise,48.24028197469749,False,True,False,False,,Industrial Manufacturing,Ship Building & Allied Services,99.95915032679738,True,True,11610.09,5.41,24538.0,0.0466
THYROCARE.NS,524.4000244140625,530.9730224609375,504.4537599351671,477.21873046875,436.1781180826823,432.89650955200193,531.7676257464371,307.3204245232677,574.9000244140625,True,True,True,True,True,True,True,False,False,70.20814207847297,noise,56.20730805296766,False,True,False,False,,Healthcare Services,Healthcare Service Provider,94.15849673202614,True,True,8346.44,27.4,522556.0,0.3283
ZIMLAB.NS,124.0,117.94916725158691,108.38194550408258,102.43160079956054,81.32013371785482,79.17725021362304,120.13957331937665,59.310001373291016,133.89999389648438,True,True,True,True,True,True,True,True,False,10.320283199863045,noise,44.78275820966458,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,72.95751633986927,True,True,664.01,1.19,96004.0,0.1793
