symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
CUPID.NS,2026-07-13,206.8300018310547,200.4566650390625,167.22638744778104,155.0689990234375,110.67199981689453,96.40777982711792,202.44005519550672,21.582000732421875,226.0,True,True,True,True,True,True,True,True,False,858.078599765036,red,224.99062227285194,False,False,False,False,,Personal Products,Personal Care,99.95928338762215,True,True,27811.62,502.3,24285472.0,1.8061
ACCORD.NS,2026-07-10,198.5500030517578,165.17083231608072,107.27777745988634,90.16199981689454,49.55433329264323,42.64149995803833,173.04694525683624,19.850000381469727,198.60000610351562,True,True,True,True,True,True,True,True,False,845.4762050083705,ppv,1415.0943396226414,True,False,True,False,,Telecom - Services,Other Telecom Services,99.9185667752443,True,True,10.0,0.03,10875.0,0.3132
SWANDEF.NS,2026-07-13,2254.60009765625,2252.8750203450522,2101.3555704752603,2043.684013671875,1838.170000813802,1581.5460012817382,2234.917527563046,277.7900085449219,2489.0,True,True,True,True,True,True,True,True,False,711.6202988962632,ppv,184.955275457559,False,False,False,False,,Industrial Manufacturing,Ship Building & Allied Services,99.87785016286645,True,True,11877.72,4.18,18529.0,0.0352
SIGMAADV.NS,2026-07-13,582.9500122070312,565.0916595458984,500.22499593098956,448.9829974365234,272.47773325602213,249.34755012512207,561.574230231204,95.52999877929688,638.0999755859375,True,True,True,True,True,True,True,True,False,465.1478464212889,green,128.6741564131425,False,False,False,False,,Aerospace & Defense,Aerospace & Defense,99.8371335504886,True,True,10273.89,26.92,461831.0,0.262
SANGINITA.NS,2026-07-13,51.61000061035156,46.415833155314125,37.83000008265177,34.11440010070801,20.942666708628337,18.293550038337706,47.51192678550995,9.09000015258789,51.61000061035156,True,True,True,True,True,True,True,True,False,390.1234750154078,ppv,107.69491101982953,False,False,True,False,,Chemicals & Petrochemicals,Specialty Chemicals,99.79641693811075,True,True,133.68,0.92,178887.0,0.6906
UNIHEALTH.NS,2026-07-10,709.9500122070312,644.3333333333334,533.9013892279731,510.93999938964845,398.0453340657552,347.3410005187988,663.8952476641578,133.64999389648438,747.9000244140625,True,True,True,True,True,True,True,True,False,323.85075355643653,noise,86.94325808419768,False,False,False,False,,Healthcare Services,Hospital,99.63355048859935,True,True,186.34,0.41,33773.0,0.2193
VENUSREM.NS,2026-07-13,1805.4000244140625,1771.8916727701824,1650.6041734483506,1461.4100061035156,1030.906669108073,901.1720011901856,1749.908013044552,424.0,2044.300048828125,True,True,True,True,True,True,True,True,False,318.0134405944844,noise,79.72982043718372,False,False,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.5928338762215,True,True,2416.11,15.71,87028.0,0.6503
DPEL.NS,2026-07-10,580.0499877929688,515.8249944051107,500.11944156222876,505.12999633789065,387.9039985148112,357.83949897766115,536.4682295811755,123.0,587.0,True,True,True,True,True,True,True,True,False,284.13906476355544,noise,65.359477124183,False,False,True,False,,Industrial Products,Cables - Electricals,99.47068403908796,True,True,251.91,0.65,61210.0,0.2576
ATHERENERG.NS,2026-07-13,1184.5999755859375,1143.4375101725261,1040.441669040256,1006.7930004882812,822.5849991861979,781.4712493896484,1157.2589902011898,318.6000061035156,1253.5999755859375,True,True,True,True,True,True,True,True,False,260.5539551358611,noise,82.84849700073568,False,False,False,False,,Automobiles,2/3 Wheelers,99.3485342019544,True,True,45406.9,573.94,4845046.0,1.264
VIJIFIN.NS,2026-07-13,7.800000190734863,6.807500004768372,5.042500025696224,4.767600030899048,3.415066674550374,3.3123500037193296,7.017167690290615,2.009999990463257,7.800000190734863,True,True,True,True,True,True,True,True,False,240.6113677147506,ppv,37.00091132927053,False,False,True,False,,Finance,Non Banking Financial Company (NBFC),99.30781758957656,True,True,134.86,0.18,237020.0,0.1371
