symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
AARTIIND.NS,2026-07-13,486.70001220703125,474.1750030517578,471.53472306993274,472.92400146484374,431.9773345947266,419.3902505493164,477.23385930329255,338.04998779296875,523.0999755859375,True,True,True,True,True,True,True,True,False,6.6078659082809965,noise,30.03474823385442,False,True,False,False,,Chemicals & Petrochemicals,Specialty Chemicals,70.83844580777097,True,True,,,,
AARVI.NS,2026-07-13,152.11000061035156,144.80083465576172,139.8522228664822,135.85300064086914,130.1194000752767,128.76234996795654,146.49684734528242,96.98999786376953,168.39999389648438,True,True,True,True,True,True,True,True,False,42.168022623251524,red,110.81858771432232,False,True,False,False,,Commercial Services & Supplies,Diversified Commercial Services,89.24335378323109,True,True,,,,
ADANIENSOL.NS,2026-07-13,1636.800048828125,1580.9416910807292,1534.294453938802,1481.436005859375,1184.76966796875,1127.4205014038087,1605.4203378628802,744.9000244140625,1712.0,True,True,True,True,True,True,True,True,False,83.87912193852287,noise,25.73809150408713,False,True,False,False,,Power,Power Distribution,95.58282208588957,True,True,,,,
ADANIPORTS.NS,2026-07-13,1817.5,1826.9666442871094,1814.1061028374565,1796.7209448242188,1580.7842456054686,1548.1880267333984,1823.7094204892944,1285.0840970824604,1891.0999755859375,True,True,True,True,True,True,True,False,False,26.483696225595388,noise,27.75296293985448,False,True,False,False,,Transport Infrastructure,Port & Port services,82.86298568507158,True,True,,,,
AEROENTER.NS,2026-07-13,120.80999755859375,130.2758331298828,117.14944458007812,112.81399993896484,91.36613316853841,89.98994979858398,125.73431571855511,62.20000076293945,149.5500030517578,True,True,True,True,True,True,True,False,False,24.568091191713748,noise,30.69419114259463,False,True,False,False,,Industrial Products,Iron & Steel Products,82.12678936605316,True,True,,,,
ANANDRATHI.NS,2026-07-13,2117.699951171875,2040.1333312988281,1877.8208312988281,1852.6672729492188,1661.9129361979167,1620.8075225830078,2058.24570359864,1032.4206153261275,2176.199951171875,True,True,True,True,True,True,True,True,False,102.40538577923553,noise,38.614971799876514,False,True,False,False,,Capital Markets,Financial Products Distributor,97.05521472392637,True,True,,,,
APOLLOPIPE.NS,2026-07-13,518.5499877929688,484.8500010172526,491.5055575900608,492.3240014648438,396.8533336385091,377.34575050354005,491.4658144784728,252.10000610351562,554.0,True,True,True,True,True,True,True,True,False,22.064868956873983,noise,49.08297986898167,False,True,False,False,,Industrial Products,Plastic Products - Industrial,81.18609406952966,True,True,,,,
ARTEMISMED.NS,2026-07-13,274.95001220703125,266.5623524983724,266.85805723402234,266.97113555908203,251.68932627360027,251.5009792327881,269.0468362418844,203.00855548512436,297.0004472310564,True,True,True,True,True,True,True,True,False,8.709285955820988,noise,63.273077201659724,False,True,False,False,,Healthcare Services,Hospital,72.26993865030676,True,True,,,,
ATALREAL.NS,2026-07-13,29.170000076293945,28.68333355585734,29.39111105600993,29.149399948120116,26.447399915059407,25.678599967956544,28.86592918741419,17.75,32.0,True,True,True,True,True,True,True,True,False,39.83700490314766,noise,61.44782502467175,False,True,False,False,,Realty,"Residential, Commercial Projects",88.71165644171779,True,True,,,,
AUBANK.NS,2026-07-13,1058.0999755859375,1051.0708414713542,1018.0583343505859,1012.7300024414062,986.5303340657553,952.8957510375976,1053.1343667813164,682.1500244140625,1090.4000244140625,True,True,True,True,True,True,True,True,False,28.138053355850733,noise,24.23183785847914,False,True,False,False,,Banks,Other Bank,83.2719836400818,True,True,,,,
BLISSGVS.NS,2026-07-13,516.0,515.7999521891276,461.91699981689453,410.980751953125,272.07285685221353,242.85054286956787,511.6689025037309,117.5147500933485,551.9194964802983,True,True,True,True,True,True,True,True,False,233.2613854729642,dry,11.547369801417418,False,True,False,False,,Pharmaceuticals & Biotechnology,Pharmaceuticals,99.2638036809816,True,True,,,,
CARRARO.NS,2026-07-13,566.0499877929688,548.2833404541016,545.823616027832,554.275005493164,531.5390026855468,524.5327514648437,552.5431795615193,400.74520999205396,667.5499877929688,True,True,True,True,True,True,True,True,False,26.45001835224643,noise,26.61502635613322,False,True,False,False,,Auto Components,Auto Components & Equipments,82.82208588957054,True,True,,,,
DEEDEV.NS,2026-07-13,679.0,676.6499989827474,660.7777828640408,609.9360034179688,379.3065342203776,346.981100769043,679.7421137508663,183.0,760.0,True,True,True,True,True,True,True,False,False,120.2043089216136,noise,22.851517229577745,False,True,False,False,,Industrial Manufacturing,Industrial Products,97.4642126789366,True,True,4699.52,33.1,487853.0,0.7043
