symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
541799.BO,2026-08-07,12.350000381469727,11.990833520889282,11.439444409476387,11.439599857330322,10.75119992574056,10.25089994430542,12.132824120711721,7.909999847412109,14.539999961853027,True,True,True,True,True,True,True,True,False,-10.830324611448304,dry,0.0,False,False,False,False,Sungold Media,Media,Advertising & Media Agencies,70.49180327868852,True,True,,,,,—
543830.BO,2026-08-07,62.0,61.784166971842446,61.75305546654595,61.564199905395505,57.2560666402181,55.49829998016357,61.937936153124745,45.599998474121094,66.5,True,True,True,True,True,True,True,True,False,5.084745762711873,dry,0.0,False,False,False,False,Labelkraft Tech.,"Paper, Forest & Jute Products",Paper & Paper Products,82.5136612021858,True,True,,,,,—
543623.BO,2026-08-07,78.08000183105469,79.94499905904134,80.13916630215115,70.27019973754882,51.06613324483236,49.5538498878479,79.84817146687962,33.0,93.5999984741211,True,True,True,True,True,True,True,False,False,60.98969449701996,noise,25.0,False,False,False,False,Vedant Asset,Capital Markets,Financial Products Distributor,95.62841530054644,True,True,,,,,—
542477.BO,2026-08-07,22.0,22.0,20.260833528306748,19.193800354003905,15.705667006174723,14.509950289726257,21.959122466358643,10.109999656677246,24.260000228881836,True,True,True,True,True,True,True,True,False,107.35156184623085,dry,0.0,False,False,False,False,Gleam Up Jwel Limiteed,Commercial Services & Supplies,Trading & Distributors,96.72131147540983,True,True,,,,,—
544175.BO,2026-08-07,103.0,101.91666666666667,100.8555556403266,100.70100006103516,91.20179992675781,89.50379974365234,102.03073110192713,66.5,110.0,True,True,True,True,True,True,True,True,False,9.57446808510638,noise,34.96503496503497,False,False,False,False,TGIF Agribusines,Agricultural Food & other Products,Other Agricultural Products,84.15300546448088,True,True,,,,,—
543310.BO,2026-08-07,78.0,75.64999898274739,69.32611062791612,63.71299957275391,51.83466646830241,51.2465234375,75.76636002661459,36.594757080078125,78.0,True,True,True,True,True,True,True,True,False,113.1452869855571,dry,0.0,False,False,True,False,Times Green Ener,Agricultural Food & other Products,Other Agricultural Products,97.81420765027322,True,True,,,,,—
544000.BO,2026-08-07,30.959999084472656,29.951666514078777,27.574166668785942,26.600800018310547,21.033199946085613,20.491699924468993,30.263958683219066,15.680000305175781,32.56999969482422,True,True,True,True,True,True,True,True,False,62.94736360248767,noise,96.15384615384616,False,False,False,False,City Crops Agro,Agricultural Food & other Products,Other Agricultural Products,96.17486338797814,True,True,,,,,—
543286.BO,2026-08-07,101.55000305175781,101.55000305175781,92.14833513895671,85.25800186157227,55.43420071919759,51.533800468444824,101.32599421035705,21.040000915527344,101.55000305175781,True,True,True,True,True,True,True,True,False,372.76538741110807,dry,0.0,False,False,True,False,Artemis ADR Marketplace,Food Products,Other Food Products,100.0,True,True,,,,,—
536737.BO,2026-08-07,82.08999633789062,65.77416610717773,51.696388244628906,47.631399612426755,29.736800435384115,27.312600555419923,69.46821793332043,20.040000915527344,82.08999633789062,True,True,True,True,True,True,True,True,False,309.6307015349778,ppv,1428.5714285714287,True,False,True,False,Amrapali Capital,Finance,Non Banking Financial Company (NBFC),99.4535519125683,True,True,,,,,—
543312.BO,2026-08-07,202.0,199.08333333333334,186.86111111111111,182.76,157.4,153.055,199.965505697546,95.0,203.0,True,True,True,True,True,True,True,True,False,112.63157894736841,dry,0.0,False,False,False,False,Focus Business,IT - Software,Computers - Software & Consulting,97.26775956284153,True,True,,,,,—
543172.BO,2026-08-07,1910.0,1928.1291809082031,1874.6819491916233,1846.3030053710938,1270.1656689453125,1170.7947518920898,1913.8051527968207,595.0,2140.0,True,True,True,True,True,True,True,False,False,166.55502512573514,noise,44.24778761061947,False,False,False,False,Cospower Engine.,Industrial Manufacturing,Industrial Products,98.36065573770492,True,True,,,,,—
