symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
543897.BO,2026-08-21,534.5,502.2708282470703,424.95694224039715,384.72499877929687,272.86066706339517,248.3659997177124,508.0464604319554,91.94999694824219,534.5,True,True,True,True,True,True,True,True,False,435.83959899749374,ppv,172.41379310344826,False,False,True,False,IT - Services,IT Enabled Services,99.78632478632478,True,True,,,,,—
UCL.NS,2026-08-21,260.0,247.1791648864746,210.10972044203015,200.39399780273436,132.01999923706055,110.91924942016601,250.4240963760761,38.0,260.0,True,True,True,True,True,True,True,True,False,420.0,dry,0.0,False,False,True,False,Chemicals & Petrochemicals,Dyes And Pigments,99.57264957264957,True,True,,,,,2
543286.BO,2026-08-21,101.55000305175781,101.55000305175781,100.41389105055067,92.12080215454101,59.62240097045898,54.77870059967041,101.51988940146684,22.229999542236328,101.55000305175781,True,True,True,True,True,True,True,True,False,356.81513784476635,dry,0.0,False,False,True,False,Food Products,Other Food Products,99.35897435897436,True,True,,,,,—
HOACFOODS.NS,2026-08-21,829.0,792.3750050862631,736.9861145019531,715.972001953125,518.5893347167969,472.2877510070801,801.4773594447934,190.1999969482422,829.9500122070312,True,True,True,True,True,True,True,True,False,307.2709346947077,dry,0.0,False,True,True,False,Food Products,Other Food Products,99.14529914529915,True,True,,,,,5
DPEL.NS,2026-08-21,570.4000244140625,563.0333404541016,564.9902801513672,540.9940014648438,445.7483329264323,404.2272495269775,569.9846128508417,130.0,599.0,True,True,True,True,True,True,True,True,False,298.8811359538899,noise,42.721518987341774,False,True,False,False,Industrial Products,Cables - Electricals,98.93162393162393,True,True,,,,,10
SILKFLEX.NS,2026-08-21,210.0,204.7541643778483,204.7749989827474,207.7029995727539,168.0426665242513,148.06299991607665,204.80048031343384,76.0,232.5,True,True,True,True,True,True,True,True,False,150.0,ppv,713.1901840490798,True,False,False,False,Chemicals & Petrochemicals,Specialty Chemicals,97.64957264957265,True,True,,,,,5
VIVO.NS,2026-08-21,157.0,137.2541650136312,100.09722073872884,93.53299880981446,81.8623329671224,80.5712498474121,141.55340977072916,64.0,160.1999969482422,True,True,True,True,True,True,True,True,False,133.63096299084995,dry,0.0,False,False,True,False,Telecom - Services,Other Telecom Services,97.22222222222221,True,True,,,,,5
542477.BO,2026-08-21,22.0,22.0,21.756944444444443,20.303800201416017,16.42766700108846,15.10295027256012,21.994504807287353,10.140000343322754,24.260000228881836,True,True,True,True,True,True,True,True,False,116.96251730885909,dry,0.0,False,False,False,False,Commercial Services & Supplies,Trading & Distributors,97.00854700854701,True,True,,,,,—
SMVD.NS,2026-08-21,16.25,15.079166889190674,14.454166889190674,13.686000213623046,11.497000045776367,10.386000056266784,15.330531135284739,5.599999904632568,16.25,True,True,True,True,True,True,True,True,False,95.78312803100384,ppv,1071.4285714285713,True,False,True,False,Industrial Products,Plastic Products - Industrial,96.36752136752136,True,True,,,,,5
543310.BO,2026-08-21,81.5,80.04166666666667,75.13972176445856,70.25099960327148,53.86783315022787,52.852049865722655,80.07262348299132,37.268280029296875,82.0,True,True,True,True,True,True,True,True,False,89.07108709386493,green,340.1360544217687,True,False,True,False,Agricultural Food & other Products,Other Agricultural Products,95.72649572649573,True,True,,,,,—
543312.BO,2026-08-21,200.0,198.66666666666666,194.63888888888889,187.74,160.93333333333334,156.065,199.16759312353284,106.0,203.0,True,True,True,True,True,True,True,True,False,81.98361894736155,dry,0.0,False,False,False,False,IT - Software,Computers - Software & Consulting,95.51282051282051,True,True,,,,,—
544000.BO,2026-08-21,34.150001525878906,32.14166673024496,29.38722218407525,28.42140007019043,22.042999979654947,21.095049934387205,32.45579735881371,15.680000305175781,34.150001525878906,True,True,True,True,True,True,True,True,False,75.12821295322516,green,108.69565217391303,False,False,True,False,Agricultural Food & other Products,Other Agricultural Products,95.08547008547008,True,True,,,,,—
544023.BO,2026-08-21,889.4500122070312,822.8083343505859,781.8777804904514,740.4180004882812,617.1900014241536,587.6887510681153,853.3865016045818,438.6499938964844,989.0,True,True,True,True,True,True,True,True,False,72.04062131664047,red,105.4284432480933,False,False,False,False,Industrial Manufacturing,Industrial Products,94.87179487179486,True,True,,,,,—
541799.BO,2026-08-21,17.149999618530273,14.275000174840292,12.476388931274414,12.083599967956543,11.176066608428956,10.54639995098114,15.145614276666945,7.909999847412109,17.149999618530273,True,True,True,True,True,True,True,True,False,67.97257154215302,dry,0.0,False,False,True,False,Media,Advertising & Media Agencies,94.65811965811966,True,True,,,,,—
ANLON.NS,2026-08-21,670.0,648.3624979654948,634.3097229003906,648.5570007324219,519.2243336995442,488.5592497253418,655.4601477364542,335.0,748.0,True,True,True,True,True,True,True,True,False,63.61416361416361,dry,12.004801920768307,False,False,False,False,Commercial Services & Supplies,Diversified Commercial Services,94.01709401709401,True,True,,,,,10
