symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
543286.BO,2026-09-11,101.55000305175781,101.55000305175781,101.55000305175781,100.73200241088867,65.55960126241048,59.080600852966306,101.5481889529305,24.700000762939453,101.55000305175781,True,True,True,True,True,True,True,True,False,290.426767236224,dry,0.0,False,False,True,False,Artemis ADR Marketplace,Food Products,Other Food Products,99.75369458128078,True,True,,,,,—
SILKFLEX.NS,2026-09-11,281.04998779296875,268.37499872843426,227.97777642144098,221.4089990234375,184.30266647338868,161.3164998626709,271.1579552049553,76.0,302.70001220703125,True,True,True,True,True,True,True,True,False,208.84614043183382,green,184.14731785428341,False,False,False,False,Silkflex Polymer,Chemicals & Petrochemicals,Specialty Chemicals,99.50738916256158,True,True,,,,,5
VILINBIO.NS,2026-09-11,59.0,51.208333333333336,45.15694438086616,45.17899993896484,42.07800003051758,37.50324998855591,53.88337941183346,18.950000762939453,60.95000076293945,True,True,True,True,True,True,True,True,False,151.59913893582475,green,170.2127659574468,False,False,False,False,Vilin Bio Med,Pharmaceuticals & Biotechnology,Pharmaceuticals,98.76847290640394,True,True,,,,,5
SMVD.NS,2026-09-11,17.0,17.0,15.693055735694038,15.167000160217285,12.25700003306071,11.145500049591064,16.89942828317332,5.599999904632568,17.049999237060547,True,True,True,True,True,True,True,True,False,123.68421333318275,dry,0.0,False,False,True,False,SMVD Poly Pack,Industrial Products,Plastic Products - Industrial,98.0295566502463,True,True,,,,,5
544000.BO,2026-09-11,42.380001068115234,39.549166679382324,34.07027784983317,32.057600021362305,24.047733357747397,22.38399991989136,39.94963899480824,15.680000305175781,42.380001068115234,True,True,True,True,True,True,True,True,False,123.05263720060648,ppv,83.33333333333334,False,False,True,False,City Crops Agro,Agricultural Food & other Products,Other Agricultural Products,97.78325123152709,True,True,,,,,—
541799.BO,2026-09-11,21.049999237060547,19.93333339691162,15.721944544050428,14.493000030517578,12.24453327814738,11.31139995098114,19.747861790545848,7.909999847412109,21.049999237060547,True,True,True,True,True,True,True,True,False,117.23426365956442,green,166.66666666666669,False,False,True,False,Sungold Media,Media,Advertising & Media Agencies,97.53694581280789,True,True,,,,,—
543312.BO,2026-09-11,230.0,210.83333333333334,202.80555555555554,198.78,167.05333333333334,161.145,216.53577668841908,106.0,230.0,True,True,True,True,True,True,True,True,False,116.98113207547172,dry,0.0,False,False,True,False,Focus Business,IT - Software,Computers - Software & Consulting,97.29064039408867,True,True,,,,,—
542477.BO,2026-09-11,22.0,22.0,22.0,21.825,17.390800310770672,15.871350264549255,21.999668960004527,10.140000343322754,24.260000228881836,True,True,True,True,True,True,True,True,False,116.96251730885909,dry,0.0,False,False,False,False,Gleam Up Jwel Limiteed,Commercial Services & Supplies,Trading & Distributors,97.04433497536947,True,True,,,,,—
SSFL.NS,2026-09-11,313.6499938964844,268.6916694641113,251.78472434149847,258.02300201416017,181.96100087483725,167.9822506713867,277.6112168151598,86.0,314.8999938964844,True,True,True,True,True,True,True,True,False,104.15458860429476,ppv,150.42117930204572,False,False,True,False,Srivari Spices &,Food Products,Other Food Products,96.30541871921181,True,True,,,,,5
EFFWA.NS,2026-09-11,374.95001220703125,350.5999984741211,357.7874993218316,361.21099975585935,289.2153328450521,273.2982494354248,361.0576098542579,165.0,399.95001220703125,True,True,True,True,True,True,True,True,False,72.27200676392378,green,121.65450121654501,False,False,False,False,Effwa Infra,Other Utilities,Waste Management,95.07389162561576,True,True,,,,,5
544052.BO,2026-09-11,46.91999816894531,43.745832761128746,38.14999972449409,39.80439964294433,31.59639990488688,30.890149898529053,44.155264813346676,18.0,47.880001068115234,True,True,True,True,True,True,True,True,False,60.85018185199302,noise,42.016806722689076,False,True,False,False,Benchmark Comp.,IT - Services,IT Enabled Services,94.08866995073892,True,True,,,,,—
VELS.NS,2026-09-11,73.0,73.0,73.0,72.49599975585937,66.06699948628743,64.00974962234497,72.99929158316114,39.75,73.0,True,True,True,True,True,True,True,True,False,39.71291866028708,dry,0.0,False,False,True,False,Vels Film,Entertainment,"Film Production, Distribution & Exhibition",92.36453201970444,True,True,,,,,5
