symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
20MICRONS.NS,2026-09-15,201.2899932861328,214.95249938964844,203.61305618286133,203.10830352783202,184.5447154744466,185.9357231903076,211.58748688115864,128.8197409252814,236.00219585750858,True,False,False,True,False,True,True,False,False,-10.648179851026352,noise,54.62122460913205,False,False,False,False,,Minerals & Mining,Industrial Minerals,52.36030828516378,False,False
21STCENMGM.NS,2026-09-15,39.0,39.32749970753988,41.21027755737305,38.883399925231934,35.37700005849202,37.51700005531311,39.30751414009961,28.25,55.060001373291016,True,False,False,True,True,True,False,False,False,-27.089177834705445,noise,22.72054551234967,False,False,False,False,,Capital Markets,Other Capital Market related Services,30.8766859344894,False,False
360ONE.NS,2026-09-15,1052.0999755859375,1137.7750040690105,1158.0194498697917,1144.5280004882814,1095.8459802246093,1108.1949630737304,1115.1447004036238,900.8207868154223,1229.0652744329707,False,False,False,True,False,False,True,False,False,-1.3367747388896345,noise,79.6298217135088,False,False,False,False,,Capital Markets,Stockbroking & Allied,62.76493256262042,False,False
3BBLACKBIO.NS,2026-09-15,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,,False,False,False,False,,Healthcare Services,Healthcare Service Provider,,False,False
3IINFOLTD.NS,2026-09-15,23.989999771118164,22.799166838328045,23.81000010172526,22.33840003967285,18.16939997990926,17.6241500043869,22.97896299306757,12.680000305175781,27.799999237060547,True,True,True,True,True,True,True,True,False,-1.8010664288219291,ppv,78.44108133497056,False,False,False,False,,IT - Software,Computers - Software & Consulting,62.23506743737958,False,False
3MINDIA.NS,2026-09-15,31590.0,33093.75,34404.583333333336,34588.86875,33257.84705729166,33527.12256835937,32854.318711654516,28319.862583025053,37487.09942436396,False,False,False,True,False,False,True,False,False,3.9490681649037684,noise,57.05803851077158,False,False,False,False,,Diversified,Diversified,67.63005780346822,False,False
3PLAND.NS,2026-09-15,30.799999237060547,31.93166669209798,31.958333174387615,32.025399894714354,32.67453333536784,33.766850032806396,31.775759135698983,28.510000228881836,47.5,False,False,False,False,False,False,False,False,False,-33.08711698051662,red,160.97631784550885,False,False,False,False,,Finance,Investment Company,23.65125240847784,False,False
5PAISA.NS,2026-09-15,313.20001220703125,339.55833435058594,361.75416480170355,365.2479992675781,334.2878000895182,335.839100189209,336.2146054670713,245.5,416.95001220703125,False,False,False,True,False,False,True,False,False,-14.868165968179925,noise,61.35321704429779,False,False,False,False,,Capital Markets,Stockbroking & Allied,46.96531791907515,False,False
63MOONS.NS,2026-09-15,864.0,833.4708302815756,819.9874996609158,788.3370007324219,685.7863362630209,693.047502746582,854.6476317993793,467.0,966.0,True,False,False,True,True,True,True,True,False,-7.41980283559136,noise,32.621367648436596,False,False,False,False,,IT - Software,Computers - Software & Consulting,56.45472061657033,False,False
ABB.NS,2026-09-15,7005.0,7393.291666666667,7461.679673936632,7361.75994140625,6811.716959635417,6379.8495190429685,7329.709684062665,4564.870705303207,7832.294844565128,True,True,True,True,False,True,True,False,False,36.380151458718466,noise,64.05140481336505,False,False,False,False,,Electrical Equipment,Heavy Electrical Equipment,85.11560693641619,True,False
