symbol,date,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,name,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc,price_band
SABAR.NS,2026-09-14,9.5,8.766666690508524,7.381944444444445,6.646999998092651,5.838333317438761,5.714499974250794,9.01862968854473,3.950000047683716,9.5,True,True,True,True,True,True,True,True,False,33.802818698652274,dry,0.0,False,False,True,False,Sabar Flex India,Industrial Products,Packaging,90.41095890410958,True,True,,,,,2
543651.BO,2026-09-14,24.489999771118164,24.36414909362793,24.197800424363876,24.024920921325684,21.41490395228068,21.19794970035553,24.349396296353756,11.887398950420122,26.229481418459912,True,True,True,True,True,True,True,True,False,5.737513012532802,dry,0.0,False,False,False,False,DAPS Advertising,Media,Advertising & Media Agencies,80.59360730593608,True,True,,,,,—
541799.BO,2026-09-11,21.049999237060547,19.93333339691162,15.721944544050428,14.493000030517578,12.24453327814738,11.31139995098114,19.747861790545848,7.909999847412109,21.049999237060547,True,True,True,True,True,True,True,True,False,117.23426365956442,green,166.66666666666669,False,False,True,False,Sungold Media,Media,Advertising & Media Agencies,97.26027397260275,True,True,,,,,—
SMVD.NS,2026-09-14,17.0,17.0,15.759722391764322,15.253000164031983,12.31666669845581,11.198250050544738,16.91771404986908,5.599999904632568,17.049999237060547,True,True,True,True,True,True,True,True,False,123.68421333318275,dry,0.0,False,False,True,False,SMVD Poly Pack,Industrial Products,Plastic Products - Industrial,97.71689497716895,True,True,,,,,5
542477.BO,2026-09-14,22.0,22.0,22.0,21.919599990844727,17.459333642323813,15.925500264167786,21.999729149094613,10.140000343322754,24.260000228881836,True,True,True,True,True,True,True,True,False,116.96251730885909,dry,0.0,False,False,False,False,Gleam Up Jwel Limiteed,Commercial Services & Supplies,Trading & Distributors,96.80365296803653,True,True,,,,,—
VIVO.NS,2026-09-14,151.0500030517578,154.27916844685873,132.62777752346463,117.14999938964844,89.84466644287109,86.50474975585938,152.11031326207876,64.0,164.0,True,True,True,True,True,True,True,False,False,128.86364098751181,dry,0.0,False,False,False,False,Vivo Collaborat.,Telecom - Services,Other Telecom Services,97.94520547945206,True,True,,,,,5
544160.BO,2026-09-11,67.08999633789062,68.22916634877522,57.111666679382324,48.50240005493164,32.96893330256144,30.635499987602234,67.65162754473728,10.729999542236328,75.6500015258789,True,True,True,True,True,True,True,False,False,17.950061670267313,noise,72.76034561164165,False,False,False,False,Jay Kailash,Food Products,Packaged Foods,85.84474885844749,True,True,,,,,—
544052.BO,2026-09-11,46.91999816894531,43.745832761128746,38.14999972449409,39.80439964294433,31.59639990488688,30.890149898529053,44.155264813346676,18.0,47.880001068115234,True,True,True,True,True,True,True,True,False,60.85018185199302,noise,42.016806722689076,False,True,False,False,Benchmark Comp.,IT - Services,IT Enabled Services,93.83561643835617,True,True,,,,,—
544175.BO,2026-09-11,104.0,101.84999974568684,102.29055531819661,101.87519989013671,94.9197331237793,91.97159976959229,102.42782400598283,66.5,111.0,True,True,True,True,True,True,True,True,False,28.078822547605252,red,173.91304347826087,False,True,False,False,TGIF Agribusines,Agricultural Food & other Products,Other Agricultural Products,89.72602739726028,True,True,,,,,—
VERA.NS,2026-09-14,86.25,86.25,82.58055559794109,78.15100067138673,72.19566706339518,71.62175067901612,86.08183483332759,65.55000305175781,86.25,True,True,True,True,True,True,True,True,False,26.83823529411764,dry,0.0,False,False,True,False,Vera Synthetic,Textiles & Apparels,Other Textile Products,88.81278538812786,True,True,,,,,5
543518.BO,2026-09-11,42.0,38.73416646321615,39.046111318800186,40.64480010986328,35.48053602854411,34.79528998374939,40.019775232219345,22.200000762939453,49.900001525878906,True,True,True,True,True,True,True,True,False,29.665163844940444,noise,87.71929824561403,False,False,False,False,Eighty Jewellers,Consumer Durables,"Gems, Jewellery And Watches",90.18264840182648,True,True,,,,,—
543310.BO,2026-09-14,76.94999694824219,79.54583231608073,78.77083290947809,76.709599609375,57.03353322347005,55.03304985046387,78.66604298716109,37.268280029296875,83.0,True,True,True,True,True,True,True,False,False,86.54072042223422,dry,0.0,False,False,False,False,Times Green Ener,Agricultural Food & other Products,Other Agricultural Products,95.4337899543379,True,True,,,,,—
544000.BO,2026-09-11,42.380001068115234,39.549166679382324,34.07027784983317,32.057600021362305,24.047733357747397,22.38399991989136,39.94963899480824,15.680000305175781,42.380001068115234,True,True,True,True,True,True,True,True,False,123.05263720060648,ppv,83.33333333333334,False,False,True,False,City Crops Agro,Agricultural Food & other Products,Other Agricultural Products,97.48858447488584,True,True,,,,,—
543286.BO,2026-09-14,101.55000305175781,101.55000305175781,101.55000305175781,101.02680252075196,65.99573460896809,59.36830087661743,101.54851878908092,24.700000762939453,101.55000305175781,True,True,True,True,True,True,True,True,False,282.77421946270573,dry,0.0,False,False,True,False,Artemis ADR Marketplace,Food Products,Other Food Products,99.54337899543378,True,True,,,,,—
VILINBIO.NS,2026-09-11,59.0,51.208333333333336,45.15694438086616,45.17899993896484,42.07800003051758,37.50324998855591,53.88337941183346,18.950000762939453,60.95000076293945,True,True,True,True,True,True,True,True,False,151.59913893582475,green,170.2127659574468,False,False,False,False,Vilin Bio Med,Pharmaceuticals & Biotechnology,Pharmaceuticals,98.63013698630137,True,True,,,,,5
SIGNORIA.NS,2026-09-14,159.0,160.33333333333334,158.38194444444446,152.69699951171876,98.10800005594889,96.38350011825561,159.68877012038033,53.099998474121094,171.5,True,True,True,True,True,True,True,False,False,62.24489795918367,dry,0.0,False,False,False,False,Signoria Creatio,Textiles & Apparels,Garments & Apparels,94.29223744292237,True,True,,,,,5
SERVICE.NS,2026-09-11,68.05000305175781,70.02083333333333,64.49722215864394,62.365999908447264,55.43733319600423,52.83424993515015,69.26119956832095,39.20000076293945,73.0,True,True,True,True,True,True,True,False,False,26.018524169921875,dry,8.992805755395683,False,False,False,False,Service Care Ltd,Commercial Services & Supplies,Diversified Commercial Services,88.12785388127854,True,True,,,,,5
VELS.NS,2026-09-14,73.0,73.0,73.0,72.55899978637696,66.16799949645996,64.05949962615966,72.99942038622274,39.75,73.0,True,True,True,True,True,True,True,True,False,33.944954128440365,dry,0.0,False,False,True,False,Vels Film,Entertainment,"Film Production, Distribution & Exhibition",90.6392694063927,True,True,,,,,5
CLSL.NS,2026-09-14,83.0,85.91250038146973,77.31388918558757,70.68500030517578,53.46166681925456,52.54550012588501,84.09412608082098,39.04999923706055,92.25,True,True,True,True,True,True,True,False,False,38.218153296454325,dry,0.0,False,False,False,False,Crop Life Scienc,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,91.78082191780823,True,True,,,,,5
539401.BO,2026-09-14,325.0,325.0,297.26666937934027,279.552001953125,273.13000040690105,270.3475003051758,323.6432390635566,209.0,325.0,True,True,True,True,True,True,True,True,False,22.180451127819545,dry,0.0,False,False,True,False,Patdiam Jeweller,Consumer Durables,"Gems, Jewellery And Watches",87.21461187214612,True,True,,,,,—
543312.BO,2026-09-14,230.0,214.16666666666666,203.77777777777777,199.78,167.63333333333333,161.59,218.98381729052468,106.0,230.0,True,True,True,True,True,True,True,True,False,116.98113207547172,dry,0.0,False,False,True,False,Focus Business,IT - Software,Computers - Software & Consulting,97.03196347031964,True,True,,,,,—
DURLAX.NS,2026-09-11,60.95000076293945,64.27499993642171,60.469444274902344,57.3139998626709,52.05066446940104,48.924746932983396,63.327248207668354,30.549999237060547,72.0,True,True,True,True,True,True,True,False,False,52.375001907348626,noise,79.42238267148014,False,False,False,False,Durlax Top,Consumer Durables,"Furniture, Home Furnishing",93.15068493150685,True,True,,,,,20
ONDOOR.NS,2026-09-11,288.0,294.59166208902997,269.7194430033366,252.74999908447265,192.55633275349936,174.39924964904785,290.0326392420265,100.0,340.0,True,True,True,True,True,True,True,False,False,84.61538461538463,dry,5.52689756816507,False,True,False,False,On Door Concepts,Retailing,Diversified Retail,95.2054794520548,True,True,,,,,20
SSFL.NS,2026-09-11,313.6499938964844,268.6916694641113,251.78472434149847,258.02300201416017,181.96100087483725,167.9822506713867,277.6112168151598,86.0,314.8999938964844,True,True,True,True,True,True,True,True,False,104.15458860429476,ppv,150.42117930204572,False,False,True,False,Srivari Spices &,Food Products,Other Food Products,95.8904109589041,True,True,,,,,5
SILKFLEX.NS,2026-09-11,281.04998779296875,268.37499872843426,227.97777642144098,221.4089990234375,184.30266647338868,161.3164998626709,271.1579552049553,76.0,302.70001220703125,True,True,True,True,True,True,True,True,False,208.84614043183382,green,184.14731785428341,False,False,False,False,Silkflex Polymer,Chemicals & Petrochemicals,Specialty Chemicals,99.31506849315068,True,True,,,,,5
MAGSON.NS,2026-09-11,184.35000610351562,183.68333307902017,183.44166607326932,182.26199951171876,168.1769999186198,157.0582498550415,182.83298598666207,100.5,213.89999389648438,True,True,True,True,True,True,True,True,False,61.71053166975056,dry,11.961722488038278,False,False,False,False,Magson Retail,Food Products,Packaged Foods,94.06392694063926,True,True,,,,,20
544151.BO,2026-09-11,110.5,111.54166603088379,107.03666687011719,102.69380020141601,86.1618002573649,84.78620027542114,111.02660187622077,60.0,127.98999786376953,True,True,True,True,True,True,True,False,False,12.410983285339805,noise,58.89646621202728,False,False,False,False,Chatha Foods,Food Products,Packaged Foods,83.56164383561644,True,True,,,,,—
MAHICKRA.NS,2026-09-11,305.95001220703125,295.8625005086263,279.0402789645725,271.0170007324219,236.40067087809246,216.0690069580078,296.2209242793586,130.91812553661782,308.79998779296875,True,True,True,True,True,True,True,True,False,114.3096485911077,noise,67.15506715506714,False,False,True,False,Mahickra Chem.,Chemicals & Petrochemicals,Dyes And Pigments,96.57534246575342,True,True,,,,,20
OLIL.NS,2026-09-11,436.29998779296875,416.2416636149089,415.5888883802626,417.42099914550784,385.0260001627604,366.33349990844727,420.9445353904248,246.0,479.8999938964844,True,True,True,True,True,True,True,True,True,69.50271877956243,green,201.61290322580646,False,False,False,False,OneClick Logisti,Transport Services,Logistics Solution Provider,94.52054794520548,True,True,,,,,20
GRCL.NS,2026-09-11,577.5,572.1375020345052,551.2486131456163,567.9290014648437,491.9816676839193,460.6322509765625,568.219187551092,306.6499938964844,629.2000122070312,True,True,True,True,True,True,True,True,False,50.0,green,128.6764705882353,False,False,False,False,Gayatri Rubbers,Industrial Products,Rubber,92.92237442922374,True,True,,,,,5
HOACFOODS.NS,2026-09-11,913.2000122070312,927.4625040690104,824.620836046007,789.6450036621094,577.7790018717448,517.405251159668,929.3179158291681,219.85000610351562,1010.0,True,True,True,True,True,True,True,False,False,289.756722284507,red,159.5744680851064,False,False,False,False,Hoac Foods,Food Products,Other Food Products,99.77168949771689,True,True,,,,,2
