Sr. No,Symbol,Series,Security Name,From,To
1,EEPL,ST,EPPELTONE ENGINEERS LIMITED,10,5
2,KJMCFIN,EQ,KJMC FINANCIAL SERVICES LIMITED,10,5
3,RPEL,EQ,RAGHAV PRODUCTIVITY ENHANCERS LIMITED,10,20
4,DSFCL,BE,DCM SHRIRAM FINE CHEMICALS LIMITED,2,5
5,FROG,ST,FROG INNOVATIONS LIMITED,2,5
6,GAUDIUMIVF,BE,GAUDIUM IVF AND WOMEN HEALTH LIMITED,2,5
7,RADIOWALLA,ST,RADIOWALLA NETWORK LIMITED,2,5
8,SUPERSPIN,BE,SUPER SPINNING MILLS LIMITED,2,5
9,SVLL,BE,SHREE VASU LOGISTICS LIMITED,2,5
10,BIOPOL,SM,BIOPOL CHEMICALS LIMITED,20,10
11,OAL,EQ,ORIENTAL AROMATICS LIMITED,20,10
12,SAWALIYA,SM,SAWALIYA FOOD PRODUCTS LIMITED,20,10
13,SUNTECH,SM,SUNTECH INFRA SOLUTIONS LIMITED,20,10
14,WEL,EQ,WONDER ELECTRICALS LIMITED,20,10
15,ABSMARINE,SM,ABS MARINE SERVICES LIMITED,5,20
16,ALLETEC,SM,ALL E TECHNOLOGIES LIMITED,5,10
17,BODALCHEM,EQ,BODAL CHEMICALS LIMITED,5,20
18,CORDSCABLE,EQ,CORDS CABLE INDUSTRIES LIMITED,5,20
19,CUDML,SM,CASH UR DRIVE MARKETING LIMITED,5,20
20,ECOSMOBLTY,EQ,ECOS (INDIA) MOBILITY & HOSPITALITY LIMITED,5,20
21,EIFFL,BE,EURO INDIA FRESH FOODS LIMITED,5,2
22,KHADIM,BE,KHADIM INDIA LIMITED,5,2
23,KOPRAN,EQ,KOPRAN LIMITED,5,20
24,LOKESHMACH,EQ,LOKESH MACHINES LIMITED,5,20
25,MODINATUR,EQ,MODI NATURALS LIMITED,5,20
26,MODISONLTD,EQ,MODISON LIMITED,5,10
27,NEOCHEM,SM,NEOCHEM BIO SOLUTIONS LIMITED,5,20
28,NRVANDANA,SM,N R VANDANA TEX INDUSTRIES LIMITED,5,20
29,OWAIS,ST,OWAIS METAL AND MINERAL PROCESSING LIMITED,5,2
30,SHETHJI,SM,SHREEJI GLOBAL FMCG LIMITED,5,20
31,SHIVAMAUTO,EQ,SHIVAM AUTOTECH LIMITED,5,20
32,SPEB,SM,SPEB ADHESIVES LIMITED,5,10
33,TECHD,SM,TECHD CYBERSECURITY LIMITED,5,20
34,TEJA,SM,TEJA ENGINEERING INDUSTRIES LIMITED,5,10
35,VERTOZ,EQ,VERTOZ LIMITED,5,20
36,VICTORYEV,SM,VICTORY ELECTRIC VEHICLES INTERNATIONAL LIMITED,5,10
